record_id,log_date,equipment_id,technician_id,customer_id,erp_order_id,maintenance_type,maintenance_status,log_description,summarized_log,failure_rate,maintenance_cost,downtime_hours,summarization_time_saved
MTN-00012,2026-01-04,EQ-0012,TECH-012,ECUST-0012,ERP-00012,Predictive Maintenance,In Progress,Technician note for EQ-0012 on 2026-01-04.,AI summary: Predictive Maintenance on EQ-0012.,0.49,4620.07,143,6
MTN-00013,2026-03-06,EQ-0013,TECH-013,ECUST-0013,ERP-00013,Corrective Maintenance,Cancelled,Technician note for EQ-0013 on 2026-03-06.,AI summary: Corrective Maintenance on EQ-0013.,0.4851,1731.29,50,8
MTN-00014,2024-07-26,EQ-0014,TECH-014,ECUST-0014,ERP-00014,Condition-Based Maintenance,In Progress,Technician note for EQ-0014 on 2024-07-26.,AI summary: Condition-Based Maintenance on EQ-0014.,0.6574,5382.48,176,7
MTN-00015,2025-11-08,EQ-0015,TECH-015,ECUST-0015,ERP-00015,Reliability-Centered Maintenance,Scheduled,Technician note for EQ-0015 on 2025-11-08.,AI summary: Reliability-Centered Maintenance on EQ-0015.,0.2663,4893.77,27,8
MTN-00016,2025-02-27,EQ-0016,TECH-016,ECUST-0016,ERP-00016,Preventive Maintenance,Scheduled,Technician note for EQ-0016 on 2025-02-27.,AI summary: Preventive Maintenance on EQ-0016.,0.6603,8980.08,135,5
MTN-00017,2024-12-02,EQ-0017,TECH-017,ECUST-0017,ERP-00017,Predictive Maintenance,Cancelled,Technician note for EQ-0017 on 2024-12-02.,AI summary: Predictive Maintenance on EQ-0017.,0.3571,13968.2,4,5
MTN-00018,2025-06-26,EQ-0018,TECH-018,ECUST-0018,ERP-00018,Corrective Maintenance,Delayed,Technician note for EQ-0018 on 2025-06-26.,AI summary: Corrective Maintenance on EQ-0018.,0.9726,3724.53,80,6
MTN-00019,2024-07-07,EQ-0019,TECH-019,ECUST-0019,ERP-00019,Condition-Based Maintenance,In Progress,Technician note for EQ-0019 on 2024-07-07.,AI summary: Condition-Based Maintenance on EQ-0019.,0.1236,7225.14,179,7
MTN-00020,2025-06-25,EQ-0020,TECH-020,ECUST-0020,ERP-00020,Reliability-Centered Maintenance,Completed,Technician note for EQ-0020 on 2025-06-25.,AI summary: Reliability-Centered Maintenance on EQ-0020.,0.3727,12806.7,102,8
MTN-00021,2025-08-07,EQ-0021,TECH-021,ECUST-0021,ERP-00021,Preventive Maintenance,Cancelled,Technician note for EQ-0021 on 2025-08-07.,AI summary: Preventive Maintenance on EQ-0021.,0.5124,10635.14,4,3
MTN-00022,2024-07-17,EQ-0022,TECH-022,ECUST-0022,ERP-00022,Predictive Maintenance,In Progress,Technician note for EQ-0022 on 2024-07-17.,AI summary: Predictive Maintenance on EQ-0022.,0.7424,6647.28,108,3
MTN-00023,2025-01-09,EQ-0023,TECH-023,ECUST-0023,ERP-00023,Corrective Maintenance,Completed,Technician note for EQ-0023 on 2025-01-09.,AI summary: Corrective Maintenance on EQ-0023.,0.2381,5964.94,110,3
MTN-00024,2026-02-09,EQ-0024,TECH-024,ECUST-0024,ERP-00024,Condition-Based Maintenance,Delayed,Technician note for EQ-0024 on 2026-02-09.,AI summary: Condition-Based Maintenance on EQ-0024.,0.2895,399.49,45,3
MTN-00025,2026-04-21,EQ-0025,TECH-025,ECUST-0025,ERP-00025,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0025 on 2026-04-21.,AI summary: Reliability-Centered Maintenance on EQ-0025.,0.3481,12835.04,77,3
MTN-00026,2025-04-28,EQ-0026,TECH-026,ECUST-0026,ERP-00026,Preventive Maintenance,In Progress,Technician note for EQ-0026 on 2025-04-28.,AI summary: Preventive Maintenance on EQ-0026.,0.1582,1272.1,192,5
MTN-00027,2026-04-05,EQ-0027,TECH-027,ECUST-0027,ERP-00027,Predictive Maintenance,Scheduled,Technician note for EQ-0027 on 2026-04-05.,AI summary: Predictive Maintenance on EQ-0027.,0.1656,6892.48,55,5
MTN-00028,2025-05-03,EQ-0028,TECH-028,ECUST-0028,ERP-00028,Corrective Maintenance,In Progress,Technician note for EQ-0028 on 2025-05-03.,AI summary: Corrective Maintenance on EQ-0028.,0.2014,12386.44,33,3
MTN-00029,2025-04-12,EQ-0029,TECH-029,ECUST-0029,ERP-00029,Condition-Based Maintenance,Cancelled,Technician note for EQ-0029 on 2025-04-12.,AI summary: Condition-Based Maintenance on EQ-0029.,0.9681,6679.4,166,6
MTN-00030,2025-05-16,EQ-0030,TECH-030,ECUST-0030,ERP-00030,Reliability-Centered Maintenance,Scheduled,Technician note for EQ-0030 on 2025-05-16.,AI summary: Reliability-Centered Maintenance on EQ-0030.,0.2364,4793.5,120,4
MTN-00031,2025-09-12,EQ-0031,TECH-031,ECUST-0031,ERP-00031,Preventive Maintenance,Completed,Technician note for EQ-0031 on 2025-09-12.,AI summary: Preventive Maintenance on EQ-0031.,0.351,12467.19,9,4
MTN-00032,2025-04-21,EQ-0032,TECH-032,ECUST-0032,ERP-00032,Predictive Maintenance,In Progress,Technician note for EQ-0032 on 2025-04-21.,AI summary: Predictive Maintenance on EQ-0032.,0.2188,7523.88,19,7
MTN-00033,2025-05-29,EQ-0033,TECH-033,ECUST-0033,ERP-00033,Corrective Maintenance,Cancelled,Technician note for EQ-0033 on 2025-05-29.,AI summary: Corrective Maintenance on EQ-0033.,0.3191,930.49,34,6
MTN-00034,2025-10-08,EQ-0034,TECH-034,ECUST-0034,ERP-00034,Condition-Based Maintenance,Scheduled,Technician note for EQ-0034 on 2025-10-08.,AI summary: Condition-Based Maintenance on EQ-0034.,0.9397,3170.32,13,2
MTN-00035,2026-05-12,EQ-0035,TECH-035,ECUST-0035,ERP-00035,Reliability-Centered Maintenance,Completed,Technician note for EQ-0035 on 2026-05-12.,AI summary: Reliability-Centered Maintenance on EQ-0035.,0.3095,5388.01,133,7
MTN-00036,2024-11-26,EQ-0036,TECH-036,ECUST-0036,ERP-00036,Preventive Maintenance,Delayed,Technician note for EQ-0036 on 2024-11-26.,AI summary: Preventive Maintenance on EQ-0036.,0.0932,14495.0,34,0
MTN-00037,2025-04-21,EQ-0037,TECH-037,ECUST-0037,ERP-00037,Predictive Maintenance,Cancelled,Technician note for EQ-0037 on 2025-04-21.,AI summary: Predictive Maintenance on EQ-0037.,0.024,11923.04,150,4
MTN-00038,2025-10-07,EQ-0038,TECH-038,ECUST-0038,ERP-00038,Corrective Maintenance,In Progress,Technician note for EQ-0038 on 2025-10-07.,AI summary: Corrective Maintenance on EQ-0038.,0.6698,2381.08,27,0
MTN-00039,2024-11-24,EQ-0039,TECH-039,ECUST-0039,ERP-00039,Condition-Based Maintenance,Scheduled,Technician note for EQ-0039 on 2024-11-24.,AI summary: Condition-Based Maintenance on EQ-0039.,0.8204,8605.09,169,7
MTN-00040,2024-08-23,EQ-0040,TECH-040,ECUST-0040,ERP-00040,Reliability-Centered Maintenance,Delayed,Technician note for EQ-0040 on 2024-08-23.,AI summary: Reliability-Centered Maintenance on EQ-0040.,0.9156,11244.15,176,2
MTN-00041,2025-08-02,EQ-0041,TECH-001,ECUST-0041,ERP-00041,Preventive Maintenance,Cancelled,Technician note for EQ-0041 on 2025-08-02.,AI summary: Preventive Maintenance on EQ-0041.,0.7018,10696.19,166,8
MTN-00042,2024-11-18,EQ-0042,TECH-002,ECUST-0042,ERP-00042,Predictive Maintenance,Delayed,Technician note for EQ-0042 on 2024-11-18.,AI summary: Predictive Maintenance on EQ-0042.,0.2874,6252.99,23,1
MTN-00043,2024-09-01,EQ-0043,TECH-003,ECUST-0043,ERP-00043,Corrective Maintenance,Delayed,Technician note for EQ-0043 on 2024-09-01.,AI summary: Corrective Maintenance on EQ-0043.,0.3257,3682.53,50,3
MTN-00044,2026-06-19,EQ-0044,TECH-004,ECUST-0044,ERP-00044,Condition-Based Maintenance,Completed,Technician note for EQ-0044 on 2026-06-19.,AI summary: Condition-Based Maintenance on EQ-0044.,0.1753,12939.74,6,6
MTN-00045,2024-07-07,EQ-0045,TECH-005,ECUST-0045,ERP-00045,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0045 on 2024-07-07.,AI summary: Reliability-Centered Maintenance on EQ-0045.,0.0955,2474.22,198,4
MTN-00046,2025-06-10,EQ-0046,TECH-006,ECUST-0046,ERP-00046,Preventive Maintenance,Scheduled,Technician note for EQ-0046 on 2025-06-10.,AI summary: Preventive Maintenance on EQ-0046.,0.3836,10178.95,123,8
MTN-00047,2025-03-29,EQ-0047,TECH-007,ECUST-0047,ERP-00047,Predictive Maintenance,Delayed,Technician note for EQ-0047 on 2025-03-29.,AI summary: Predictive Maintenance on EQ-0047.,0.6863,13375.21,118,3
MTN-00048,2025-11-21,EQ-0048,TECH-008,ECUST-0048,ERP-00048,Corrective Maintenance,Scheduled,Technician note for EQ-0048 on 2025-11-21.,AI summary: Corrective Maintenance on EQ-0048.,0.8697,9857.38,198,8
MTN-00049,2026-03-03,EQ-0049,TECH-009,ECUST-0049,ERP-00049,Condition-Based Maintenance,Cancelled,Technician note for EQ-0049 on 2026-03-03.,AI summary: Condition-Based Maintenance on EQ-0049.,0.0563,8240.34,81,1
MTN-00050,2025-03-08,EQ-0050,TECH-010,ECUST-0050,ERP-00050,Reliability-Centered Maintenance,Completed,Technician note for EQ-0050 on 2025-03-08.,AI summary: Reliability-Centered Maintenance on EQ-0050.,0.4551,4977.58,59,1
MTN-00051,2025-06-23,EQ-0051,TECH-011,ECUST-0051,ERP-00051,Preventive Maintenance,In Progress,Technician note for EQ-0051 on 2025-06-23.,AI summary: Preventive Maintenance on EQ-0051.,0.9069,8487.37,115,2
MTN-00052,2025-02-09,EQ-0052,TECH-012,ECUST-0052,ERP-00052,Predictive Maintenance,Scheduled,Technician note for EQ-0052 on 2025-02-09.,AI summary: Predictive Maintenance on EQ-0052.,0.3882,687.99,13,4
MTN-00053,2024-07-22,EQ-0053,TECH-013,ECUST-0053,ERP-00053,Corrective Maintenance,Cancelled,Technician note for EQ-0053 on 2024-07-22.,AI summary: Corrective Maintenance on EQ-0053.,0.9025,387.56,38,7
MTN-00054,2026-03-30,EQ-0054,TECH-014,ECUST-0054,ERP-00054,Condition-Based Maintenance,Delayed,Technician note for EQ-0054 on 2026-03-30.,AI summary: Condition-Based Maintenance on EQ-0054.,0.2562,14379.04,30,6
MTN-00055,2025-05-29,EQ-0055,TECH-015,ECUST-0055,ERP-00055,Reliability-Centered Maintenance,Completed,Technician note for EQ-0055 on 2025-05-29.,AI summary: Reliability-Centered Maintenance on EQ-0055.,0.3039,9340.22,43,4
MTN-00056,2026-06-15,EQ-0056,TECH-016,ECUST-0056,ERP-00056,Preventive Maintenance,In Progress,Technician note for EQ-0056 on 2026-06-15.,AI summary: Preventive Maintenance on EQ-0056.,0.2694,5926.91,32,1
MTN-00057,2024-12-31,EQ-0057,TECH-017,ECUST-0057,ERP-00057,Predictive Maintenance,Cancelled,Technician note for EQ-0057 on 2024-12-31.,AI summary: Predictive Maintenance on EQ-0057.,0.3285,6554.78,81,2
MTN-00058,2025-08-14,EQ-0058,TECH-018,ECUST-0058,ERP-00058,Corrective Maintenance,Delayed,Technician note for EQ-0058 on 2025-08-14.,AI summary: Corrective Maintenance on EQ-0058.,0.2833,6007.88,102,5
MTN-00059,2026-02-22,EQ-0059,TECH-019,ECUST-0059,ERP-00059,Condition-Based Maintenance,Completed,Technician note for EQ-0059 on 2026-02-22.,AI summary: Condition-Based Maintenance on EQ-0059.,0.7204,10788.47,31,6
MTN-00060,2024-10-19,EQ-0060,TECH-020,ECUST-0060,ERP-00060,Reliability-Centered Maintenance,Completed,Technician note for EQ-0060 on 2024-10-19.,AI summary: Reliability-Centered Maintenance on EQ-0060.,0.2174,11513.87,79,6
MTN-00061,2025-11-23,EQ-0061,TECH-021,ECUST-0061,ERP-00061,Preventive Maintenance,Cancelled,Technician note for EQ-0061 on 2025-11-23.,AI summary: Preventive Maintenance on EQ-0061.,0.9548,5414.01,169,6
MTN-00062,2026-01-27,EQ-0062,TECH-022,ECUST-0062,ERP-00062,Predictive Maintenance,Scheduled,Technician note for EQ-0062 on 2026-01-27.,AI summary: Predictive Maintenance on EQ-0062.,0.7707,11564.49,149,8
MTN-00063,2024-08-23,EQ-0063,TECH-023,ECUST-0063,ERP-00063,Corrective Maintenance,Delayed,Technician note for EQ-0063 on 2024-08-23.,AI summary: Corrective Maintenance on EQ-0063.,0.0984,5873.86,178,2
MTN-00064,2025-08-22,EQ-0064,TECH-024,ECUST-0064,ERP-00064,Condition-Based Maintenance,Scheduled,Technician note for EQ-0064 on 2025-08-22.,AI summary: Condition-Based Maintenance on EQ-0064.,0.9048,9729.61,136,3
MTN-00065,2025-02-01,EQ-0065,TECH-025,ECUST-0065,ERP-00065,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0065 on 2025-02-01.,AI summary: Reliability-Centered Maintenance on EQ-0065.,0.954,9716.59,73,2
MTN-00066,2025-06-28,EQ-0066,TECH-026,ECUST-0066,ERP-00066,Preventive Maintenance,Completed,Technician note for EQ-0066 on 2025-06-28.,AI summary: Preventive Maintenance on EQ-0066.,0.3328,4110.4,124,0
MTN-00067,2026-01-17,EQ-0067,TECH-027,ECUST-0067,ERP-00067,Predictive Maintenance,Scheduled,Technician note for EQ-0067 on 2026-01-17.,AI summary: Predictive Maintenance on EQ-0067.,0.6189,8153.58,8,1
MTN-00068,2026-05-27,EQ-0068,TECH-028,ECUST-0068,ERP-00068,Corrective Maintenance,In Progress,Technician note for EQ-0068 on 2026-05-27.,AI summary: Corrective Maintenance on EQ-0068.,0.6172,1338.51,170,7
MTN-00069,2025-03-07,EQ-0069,TECH-029,ECUST-0069,ERP-00069,Condition-Based Maintenance,Cancelled,Technician note for EQ-0069 on 2025-03-07.,AI summary: Condition-Based Maintenance on EQ-0069.,0.8631,1661.7,3,5
MTN-00070,2025-08-07,EQ-0070,TECH-030,ECUST-0070,ERP-00070,Reliability-Centered Maintenance,Scheduled,Technician note for EQ-0070 on 2025-08-07.,AI summary: Reliability-Centered Maintenance on EQ-0070.,0.5924,13210.29,39,7
MTN-00071,2024-12-06,EQ-0071,TECH-031,ECUST-0071,ERP-00071,Preventive Maintenance,Scheduled,Technician note for EQ-0071 on 2024-12-06.,AI summary: Preventive Maintenance on EQ-0071.,0.4634,3581.37,71,2
MTN-00072,2026-05-23,EQ-0072,TECH-032,ECUST-0072,ERP-00072,Predictive Maintenance,Scheduled,Technician note for EQ-0072 on 2026-05-23.,AI summary: Predictive Maintenance on EQ-0072.,0.8999,8819.46,53,0
MTN-00073,2024-07-23,EQ-0073,TECH-033,ECUST-0073,ERP-00073,Corrective Maintenance,Cancelled,Technician note for EQ-0073 on 2024-07-23.,AI summary: Corrective Maintenance on EQ-0073.,0.5875,9955.01,116,6
MTN-00074,2025-09-30,EQ-0074,TECH-034,ECUST-0074,ERP-00074,Condition-Based Maintenance,Completed,Technician note for EQ-0074 on 2025-09-30.,AI summary: Condition-Based Maintenance on EQ-0074.,0.2739,14085.89,168,5
MTN-00075,2025-08-17,EQ-0075,TECH-035,ECUST-0075,ERP-00075,Reliability-Centered Maintenance,In Progress,Technician note for EQ-0075 on 2025-08-17.,AI summary: Reliability-Centered Maintenance on EQ-0075.,0.1562,12897.7,182,7
MTN-00076,2025-06-29,EQ-0076,TECH-036,ECUST-0076,ERP-00076,Preventive Maintenance,Completed,Technician note for EQ-0076 on 2025-06-29.,AI summary: Preventive Maintenance on EQ-0076.,0.1419,4298.81,60,3
MTN-00077,2025-01-02,EQ-0077,TECH-037,ECUST-0077,ERP-00077,Predictive Maintenance,Cancelled,Technician note for EQ-0077 on 2025-01-02.,AI summary: Predictive Maintenance on EQ-0077.,0.2281,13170.8,79,4
MTN-00078,2026-05-18,EQ-0078,TECH-038,ECUST-0078,ERP-00078,Corrective Maintenance,Scheduled,Technician note for EQ-0078 on 2026-05-18.,AI summary: Corrective Maintenance on EQ-0078.,0.2884,11530.17,176,2
MTN-00079,2025-07-20,EQ-0079,TECH-039,ECUST-0079,ERP-00079,Condition-Based Maintenance,Scheduled,Technician note for EQ-0079 on 2025-07-20.,AI summary: Condition-Based Maintenance on EQ-0079.,0.0356,7820.47,129,1
MTN-00080,2024-11-17,EQ-0080,TECH-040,ECUST-0080,ERP-00080,Reliability-Centered Maintenance,Delayed,Technician note for EQ-0080 on 2024-11-17.,AI summary: Reliability-Centered Maintenance on EQ-0080.,0.3799,2682.76,163,2
MTN-00081,2025-09-27,EQ-0081,TECH-001,ECUST-0081,ERP-00081,Preventive Maintenance,Cancelled,Technician note for EQ-0081 on 2025-09-27.,AI summary: Preventive Maintenance on EQ-0081.,0.0794,1430.07,104,5
MTN-00082,2024-09-25,EQ-0082,TECH-002,ECUST-0082,ERP-00082,Predictive Maintenance,Scheduled,Technician note for EQ-0082 on 2024-09-25.,AI summary: Predictive Maintenance on EQ-0082.,0.8014,13554.21,178,4
MTN-00083,2024-07-20,EQ-0083,TECH-003,ECUST-0083,ERP-00083,Corrective Maintenance,Delayed,Technician note for EQ-0083 on 2024-07-20.,AI summary: Corrective Maintenance on EQ-0083.,0.5249,8004.13,4,4
MTN-00084,2024-10-06,EQ-0084,TECH-004,ECUST-0084,ERP-00084,Condition-Based Maintenance,Completed,Technician note for EQ-0084 on 2024-10-06.,AI summary: Condition-Based Maintenance on EQ-0084.,0.7446,136.91,63,4
MTN-00085,2024-08-16,EQ-0085,TECH-005,ECUST-0085,ERP-00085,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0085 on 2024-08-16.,AI summary: Reliability-Centered Maintenance on EQ-0085.,0.1377,7703.52,96,2
MTN-00086,2025-05-16,EQ-0086,TECH-006,ECUST-0086,ERP-00086,Preventive Maintenance,Delayed,Technician note for EQ-0086 on 2025-05-16.,AI summary: Preventive Maintenance on EQ-0086.,0.3895,6675.44,194,8
MTN-00087,2025-02-20,EQ-0087,TECH-007,ECUST-0087,ERP-00087,Predictive Maintenance,Completed,Technician note for EQ-0087 on 2025-02-20.,AI summary: Predictive Maintenance on EQ-0087.,0.2441,5896.72,76,8
MTN-00088,2026-01-25,EQ-0088,TECH-008,ECUST-0088,ERP-00088,Corrective Maintenance,Completed,Technician note for EQ-0088 on 2026-01-25.,AI summary: Corrective Maintenance on EQ-0088.,0.8357,12164.94,144,3
MTN-00089,2026-02-10,EQ-0089,TECH-009,ECUST-0089,ERP-00089,Condition-Based Maintenance,Cancelled,Technician note for EQ-0089 on 2026-02-10.,AI summary: Condition-Based Maintenance on EQ-0089.,0.3535,8274.44,123,3
MTN-00090,2025-07-10,EQ-0090,TECH-010,ECUST-0090,ERP-00090,Reliability-Centered Maintenance,Scheduled,Technician note for EQ-0090 on 2025-07-10.,AI summary: Reliability-Centered Maintenance on EQ-0090.,0.0583,3011.36,109,0
MTN-00091,2025-05-06,EQ-0091,TECH-011,ECUST-0091,ERP-00091,Preventive Maintenance,Scheduled,Technician note for EQ-0091 on 2025-05-06.,AI summary: Preventive Maintenance on EQ-0091.,0.3732,13245.68,191,4
MTN-00092,2025-10-07,EQ-0092,TECH-012,ECUST-0092,ERP-00092,Predictive Maintenance,Scheduled,Technician note for EQ-0092 on 2025-10-07.,AI summary: Predictive Maintenance on EQ-0092.,0.0904,8844.46,167,1
MTN-00093,2025-06-26,EQ-0093,TECH-013,ECUST-0093,ERP-00093,Corrective Maintenance,Cancelled,Technician note for EQ-0093 on 2025-06-26.,AI summary: Corrective Maintenance on EQ-0093.,0.2635,160.18,129,2
MTN-00094,2026-07-11,EQ-0094,TECH-014,ECUST-0094,ERP-00094,Condition-Based Maintenance,In Progress,Technician note for EQ-0094 on 2026-07-11.,AI summary: Condition-Based Maintenance on EQ-0094.,0.0734,4655.34,171,5
MTN-00095,2025-10-31,EQ-0095,TECH-015,ECUST-0095,ERP-00095,Reliability-Centered Maintenance,Delayed,Technician note for EQ-0095 on 2025-10-31.,AI summary: Reliability-Centered Maintenance on EQ-0095.,0.4207,7914.72,106,7
MTN-00096,2025-04-30,EQ-0096,TECH-016,ECUST-0096,ERP-00096,Preventive Maintenance,In Progress,Technician note for EQ-0096 on 2025-04-30.,AI summary: Preventive Maintenance on EQ-0096.,0.9047,4944.96,12,8
MTN-00097,2026-07-11,EQ-0097,TECH-017,ECUST-0097,ERP-00097,Predictive Maintenance,Cancelled,Technician note for EQ-0097 on 2026-07-11.,AI summary: Predictive Maintenance on EQ-0097.,0.5317,2694.46,9,1
MTN-00098,2025-12-24,EQ-0098,TECH-018,ECUST-0098,ERP-00098,Corrective Maintenance,Delayed,Technician note for EQ-0098 on 2025-12-24.,AI summary: Corrective Maintenance on EQ-0098.,0.8464,8042.19,135,7
MTN-00099,2025-02-16,EQ-0099,TECH-019,ECUST-0099,ERP-00099,Condition-Based Maintenance,Completed,Technician note for EQ-0099 on 2025-02-16.,AI summary: Condition-Based Maintenance on EQ-0099.,0.8089,4523.49,158,5
MTN-00100,2026-05-12,EQ-0100,TECH-020,ECUST-0100,ERP-00100,Reliability-Centered Maintenance,In Progress,Technician note for EQ-0100 on 2026-05-12.,AI summary: Reliability-Centered Maintenance on EQ-0100.,0.7405,13512.3,180,4
MTN-00101,2024-07-10,EQ-0101,TECH-021,ECUST-0101,ERP-00101,Preventive Maintenance,Cancelled,Technician note for EQ-0101 on 2024-07-10.,AI summary: Preventive Maintenance on EQ-0101.,0.5569,8798.21,163,3
MTN-00102,2026-01-28,EQ-0102,TECH-022,ECUST-0102,ERP-00102,Predictive Maintenance,Scheduled,Technician note for EQ-0102 on 2026-01-28.,AI summary: Predictive Maintenance on EQ-0102.,0.7086,14725.88,148,1
MTN-00103,2026-03-29,EQ-0103,TECH-023,ECUST-0103,ERP-00103,Corrective Maintenance,Completed,Technician note for EQ-0103 on 2026-03-29.,AI summary: Corrective Maintenance on EQ-0103.,0.8433,6161.69,86,2
MTN-00104,2026-05-12,EQ-0104,TECH-024,ECUST-0104,ERP-00104,Condition-Based Maintenance,Scheduled,Technician note for EQ-0104 on 2026-05-12.,AI summary: Condition-Based Maintenance on EQ-0104.,0.3621,10689.73,166,0
MTN-00105,2026-01-25,EQ-0105,TECH-025,ECUST-0105,ERP-00105,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0105 on 2026-01-25.,AI summary: Reliability-Centered Maintenance on EQ-0105.,0.3993,2987.34,12,1
MTN-00106,2025-07-23,EQ-0106,TECH-026,ECUST-0106,ERP-00106,Preventive Maintenance,In Progress,Technician note for EQ-0106 on 2025-07-23.,AI summary: Preventive Maintenance on EQ-0106.,0.7675,12169.47,46,5
MTN-00107,2025-02-04,EQ-0107,TECH-027,ECUST-0107,ERP-00107,Predictive Maintenance,In Progress,Technician note for EQ-0107 on 2025-02-04.,AI summary: Predictive Maintenance on EQ-0107.,0.7287,7157.53,69,5
MTN-00108,2024-11-27,EQ-0108,TECH-028,ECUST-0108,ERP-00108,Corrective Maintenance,Scheduled,Technician note for EQ-0108 on 2024-11-27.,AI summary: Corrective Maintenance on EQ-0108.,0.2437,6225.06,75,8
MTN-00109,2024-07-29,EQ-0109,TECH-029,ECUST-0109,ERP-00109,Condition-Based Maintenance,Cancelled,Technician note for EQ-0109 on 2024-07-29.,AI summary: Condition-Based Maintenance on EQ-0109.,0.8537,146.19,90,5
MTN-00110,2025-07-25,EQ-0110,TECH-030,ECUST-0110,ERP-00110,Reliability-Centered Maintenance,Completed,Technician note for EQ-0110 on 2025-07-25.,AI summary: Reliability-Centered Maintenance on EQ-0110.,0.3481,5831.12,92,3
MTN-00111,2024-08-01,EQ-0111,TECH-031,ECUST-0111,ERP-00111,Preventive Maintenance,Delayed,Technician note for EQ-0111 on 2024-08-01.,AI summary: Preventive Maintenance on EQ-0111.,0.6692,10263.32,66,1
MTN-00112,2024-08-20,EQ-0112,TECH-032,ECUST-0112,ERP-00112,Predictive Maintenance,Delayed,Technician note for EQ-0112 on 2024-08-20.,AI summary: Predictive Maintenance on EQ-0112.,0.3833,9211.05,86,0
MTN-00113,2026-04-19,EQ-0113,TECH-033,ECUST-0113,ERP-00113,Corrective Maintenance,Cancelled,Technician note for EQ-0113 on 2026-04-19.,AI summary: Corrective Maintenance on EQ-0113.,0.5003,12370.0,150,1
MTN-00114,2024-08-10,EQ-0114,TECH-034,ECUST-0114,ERP-00114,Condition-Based Maintenance,In Progress,Technician note for EQ-0114 on 2024-08-10.,AI summary: Condition-Based Maintenance on EQ-0114.,0.0762,10636.68,94,1
MTN-00115,2025-12-29,EQ-0115,TECH-035,ECUST-0115,ERP-00115,Reliability-Centered Maintenance,Completed,Technician note for EQ-0115 on 2025-12-29.,AI summary: Reliability-Centered Maintenance on EQ-0115.,0.8489,5139.16,199,4
MTN-00116,2026-03-09,EQ-0116,TECH-036,ECUST-0116,ERP-00116,Preventive Maintenance,Scheduled,Technician note for EQ-0116 on 2026-03-09.,AI summary: Preventive Maintenance on EQ-0116.,0.3105,2362.69,147,1
