record_id,order_id,customer_id,product_id,order_date,order_total,product_price,inventory_level,customer_segment,order_status,product_category,product_subcategory,customer_ltv,order_frequency,average_order_value,product_rating,product_review_count,price_optimization_flag,price_elasticity,demand_forecast,inventory_turnover,stockout_rate,overstock_rate,revenue_growth_rate,customer_satisfaction_rate,price_optimization_date,price_optimization_result,price_optimization_recommendation
CPG-00014,ORD-00014,CUST-00014,PROD-00014,2024-09-04,447.35,7.35,3469,Medium-Value,Cancelled,Beverages,Carbonated Soft Drinks,268.23,11,313.03,4.17,443,FALSE,0.4878,3620,6.8443,0.064153,0.001934,-0.239805,0.941553,2024-09-07,Implemented,Increase price
CPG-00015,ORD-00015,CUST-00015,PROD-00015,2024-11-27,341.76,4.43,2987,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,4499.68,7,279.19,2.93,230,TRUE,0.9488,4587,10.6675,0.060957,0.124132,-0.176357,0.964941,2024-12-05,Implemented,Decrease price
CPG-00016,ORD-00016,CUST-00016,PROD-00016,2024-12-09,36.94,55.99,2032,Medium-Value,Shipped,Beverages,Carbonated Soft Drinks,838.03,23,61.08,3.58,180,TRUE,2.1606,1823,2.7951,0.137768,0.069932,0.356429,0.935662,2025-01-28,Implemented,Increase price
CPG-00017,ORD-00017,CUST-00017,PROD-00017,2024-10-13,367.64,18.19,4173,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,3413.61,18,145.84,1.98,45,TRUE,0.3768,2140,2.5535,0.14438,0.053093,-0.213278,0.717282,2024-08-24,Rejected,Hold price
CPG-00018,ORD-00018,CUST-00018,PROD-00018,2024-08-17,551.49,35.44,2086,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,3558.49,1,217.57,2.79,207,TRUE,0.9741,574,11.4121,0.138116,0.124631,0.23071,0.562313,2024-10-13,Pending Review,Hold price
CPG-00019,ORD-00019,CUST-00019,PROD-00019,2024-10-15,303.67,13.13,3105,Low-Value,Shipped,Beverages,Carbonated Soft Drinks,3753.27,6,253.9,3.44,293,FALSE,1.0746,4,3.9946,0.031527,0.157152,0.185329,0.661125,2024-10-06,Pending Review,Bundle with promotion
CPG-00020,ORD-00020,CUST-00020,PROD-00020,2024-10-17,467.39,11.84,694,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,2601.49,21,255.32,3.78,417,TRUE,2.0642,1925,8.2372,0.033696,0.039826,-0.28046,0.622421,2024-08-30,Pending Review,Increase price
CPG-00021,ORD-00021,CUST-00021,PROD-00021,2024-08-22,799.23,24.27,3273,High-Value,Shipped,Beverages,Carbonated Soft Drinks,780.48,23,22.11,3.01,377,TRUE,1.9682,1793,2.5227,0.143695,0.103592,-0.259825,0.624599,2024-07-08,Implemented,Bundle with promotion
CPG-00022,ORD-00022,CUST-00022,PROD-00022,2024-06-01,605.81,57.1,3625,Low-Value,Shipped,Beverages,Carbonated Soft Drinks,4084.28,17,182.16,4.46,314,FALSE,2.2533,3889,5.6758,0.112767,0.167973,-0.078151,0.888837,2024-06-21,Pending Review,Decrease price
CPG-00023,ORD-00023,CUST-00023,PROD-00023,2024-07-07,83.57,20.54,4424,High-Value,Shipped,Beverages,Carbonated Soft Drinks,734.95,8,165.55,2.0,149,TRUE,1.7954,527,5.271,0.049632,0.093185,-0.250187,0.916446,2024-06-15,Pending Review,Increase price
CPG-00024,ORD-00024,CUST-00024,PROD-00024,2024-12-03,351.64,45.7,3432,Low-Value,Pending,Beverages,Carbonated Soft Drinks,3750.2,18,323.95,1.02,190,TRUE,1.2718,2236,5.5121,0.004354,0.067226,0.243314,0.702158,2024-11-13,Implemented,Bundle with promotion
CPG-00025,ORD-00025,CUST-00025,PROD-00025,2024-12-19,882.94,36.33,222,High-Value,Delivered,Beverages,Carbonated Soft Drinks,3231.61,5,349.4,2.87,474,TRUE,0.2207,3106,4.2646,0.068205,0.0675,0.403712,0.639128,2024-11-23,Pending Review,Hold price
CPG-00026,ORD-00026,CUST-00026,PROD-00026,2024-11-27,431.22,22.3,562,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,249.28,1,380.85,3.62,36,TRUE,2.1141,1249,3.2433,0.071034,0.022878,0.458206,0.732517,2025-01-26,Pending Review,Hold price
CPG-00027,ORD-00027,CUST-00027,PROD-00027,2024-06-09,552.41,49.52,2548,High-Value,Pending,Beverages,Carbonated Soft Drinks,2914.49,10,238.8,3.62,68,FALSE,1.052,1625,1.374,0.103592,0.125448,-0.218479,0.88624,2024-07-28,Rejected,Increase price
CPG-00028,ORD-00028,CUST-00028,PROD-00028,2024-11-17,707.63,23.49,4144,Low-Value,Pending,Beverages,Carbonated Soft Drinks,1739.09,14,332.49,2.22,229,TRUE,1.1405,2968,7.8092,0.124306,0.141462,0.04839,0.866898,2024-10-05,Rejected,Hold price
CPG-00029,ORD-00029,CUST-00029,PROD-00029,2024-10-02,730.26,27.26,4853,Medium-Value,Cancelled,Beverages,Carbonated Soft Drinks,1645.41,8,335.68,2.88,257,TRUE,0.7694,3693,3.3044,0.069706,0.122066,0.003191,0.51435,2024-09-02,Pending Review,Decrease price
CPG-00030,ORD-00030,CUST-00030,PROD-00030,2024-08-30,329.02,36.58,2263,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,100.25,7,52.53,1.9,153,FALSE,1.2726,1969,8.442,0.096885,0.098164,0.334346,0.546527,2024-07-04,Implemented,Bundle with promotion
CPG-00031,ORD-00031,CUST-00031,PROD-00031,2024-10-22,285.99,32.79,3485,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,2774.42,12,287.08,3.04,252,FALSE,0.8359,1889,1.8875,0.028888,0.023911,0.128691,0.881095,2024-11-26,Implemented,Decrease price
CPG-00032,ORD-00032,CUST-00032,PROD-00032,2024-06-22,668.67,32.43,2318,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,4171.51,10,106.44,1.97,311,TRUE,0.8254,4376,1.9557,0.006827,0.010905,-0.066291,0.972045,2024-08-09,Rejected,Bundle with promotion
CPG-00033,ORD-00033,CUST-00033,PROD-00033,2024-05-24,787.36,27.55,1510,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,1299.77,16,63.35,3.01,250,TRUE,1.0617,607,7.1357,0.102968,0.030345,0.348914,0.974563,2024-06-23,Implemented,Decrease price
CPG-00034,ORD-00034,CUST-00034,PROD-00034,2024-05-28,691.53,15.09,4280,Medium-Value,Pending,Beverages,Carbonated Soft Drinks,2280.05,15,132.99,3.12,414,FALSE,0.8329,494,7.5108,0.111013,0.189518,-0.13377,0.605513,2024-07-06,Rejected,Increase price
CPG-00035,ORD-00035,CUST-00035,PROD-00035,2024-06-07,168.82,28.13,4864,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,1491.73,8,129.48,1.26,11,FALSE,1.7872,3720,1.3186,0.035014,0.052911,0.332998,0.794895,2024-05-11,Implemented,Bundle with promotion
CPG-00036,ORD-00036,CUST-00036,PROD-00036,2024-05-27,496.94,49.94,584,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,871.32,10,246.12,3.27,475,FALSE,1.154,3840,8.4198,0.10496,0.188535,0.100378,0.746898,2024-05-09,Implemented,Increase price
CPG-00037,ORD-00037,CUST-00037,PROD-00037,2024-12-11,665.06,15.28,4712,Low-Value,Shipped,Beverages,Carbonated Soft Drinks,4756.39,22,332.14,3.11,23,TRUE,1.9315,1436,5.9108,0.097726,0.183215,-0.154809,0.792665,2024-12-05,Rejected,Bundle with promotion
CPG-00038,ORD-00038,CUST-00038,PROD-00038,2024-05-21,322.95,51.75,2701,Medium-Value,Shipped,Beverages,Carbonated Soft Drinks,3483.68,10,271.78,2.17,353,FALSE,2.0526,4507,0.922,0.013209,0.05048,-0.207263,0.886274,2024-05-27,Rejected,Increase price
CPG-00039,ORD-00039,CUST-00039,PROD-00039,2024-10-13,784.39,32.07,4083,Low-Value,Cancelled,Beverages,Carbonated Soft Drinks,2238.1,2,97.35,2.62,37,TRUE,2.3264,3590,10.6297,0.072707,0.005774,0.204018,0.899657,2024-09-30,Rejected,Decrease price
CPG-00040,ORD-00040,CUST-00040,PROD-00040,2024-07-16,27.1,54.95,3780,High-Value,Pending,Beverages,Carbonated Soft Drinks,3256.16,5,209.38,2.43,125,FALSE,1.3213,2240,5.2781,0.072375,0.094444,0.065429,0.572321,2024-05-23,Implemented,Decrease price
CPG-00041,ORD-00041,CUST-00041,PROD-00041,2024-12-05,259.48,56.19,4159,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,4111.72,10,295.9,3.77,222,FALSE,2.1766,3659,6.6937,0.051769,0.110383,0.134744,0.727672,2024-11-13,Pending Review,Decrease price
CPG-00042,ORD-00042,CUST-00042,PROD-00042,2024-10-23,521.04,4.53,3874,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,4571.48,13,166.71,1.82,407,TRUE,1.2888,304,1.9518,0.144803,0.066399,-0.219708,0.92252,2024-11-18,Implemented,Bundle with promotion
CPG-00043,ORD-00043,CUST-00043,PROD-00043,2024-05-01,142.58,29.23,2171,Medium-Value,Pending,Beverages,Carbonated Soft Drinks,3135.13,13,266.94,4.05,89,FALSE,2.1456,4372,4.8701,0.047499,0.143743,0.307521,0.936192,2024-05-05,Implemented,Increase price
CPG-00044,ORD-00044,CUST-00044,PROD-00044,2024-06-27,620.69,7.24,806,Low-Value,Pending,Beverages,Carbonated Soft Drinks,3534.26,4,188.6,2.01,126,FALSE,2.2682,377,4.2303,0.008418,0.071693,0.044549,0.622099,2024-05-10,Pending Review,Decrease price
CPG-00045,ORD-00045,CUST-00045,PROD-00045,2024-06-10,84.89,15.97,4777,High-Value,Delivered,Beverages,Carbonated Soft Drinks,1199.33,21,116.51,4.05,327,FALSE,1.7004,3812,10.8639,0.101642,0.031595,0.053384,0.672783,2024-07-23,Rejected,Hold price
CPG-00046,ORD-00046,CUST-00046,PROD-00046,2024-10-08,866.4,19.52,3151,Medium-Value,Cancelled,Beverages,Carbonated Soft Drinks,577.93,13,237.33,3.42,243,FALSE,2.4825,2419,0.7523,0.124506,0.079161,-0.293522,0.932534,2024-12-01,Rejected,Increase price
CPG-00047,ORD-00047,CUST-00047,PROD-00047,2024-12-17,674.48,46.99,1885,Low-Value,Pending,Beverages,Carbonated Soft Drinks,4019.56,8,261.91,3.91,472,FALSE,1.7266,1121,7.7249,0.135511,0.129268,-0.052854,0.720412,2024-11-28,Rejected,Hold price
CPG-00048,ORD-00048,CUST-00048,PROD-00048,2024-11-01,94.77,12.19,1082,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,4388.48,12,221.72,2.03,392,FALSE,2.0931,2106,11.0116,0.141628,0.193477,-0.063887,0.935198,2024-11-27,Implemented,Bundle with promotion
CPG-00049,ORD-00049,CUST-00049,PROD-00049,2024-12-30,139.57,44.0,3255,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,1860.59,13,25.29,4.38,450,TRUE,1.1915,2148,7.2224,0.123363,0.188058,-0.213323,0.616911,2025-02-11,Implemented,Hold price
CPG-00050,ORD-00050,CUST-00050,PROD-00050,2024-12-18,210.91,54.74,2475,Low-Value,Pending,Beverages,Carbonated Soft Drinks,2071.06,5,37.23,1.22,431,TRUE,0.8305,4036,1.8354,0.03522,0.107509,0.010917,0.685506,2025-01-16,Rejected,Bundle with promotion
CPG-00051,ORD-00051,CUST-00051,PROD-00051,2024-09-25,658.04,50.35,3343,Medium-Value,Pending,Beverages,Carbonated Soft Drinks,211.95,12,102.56,4.1,345,FALSE,2.3813,2972,1.6426,0.102852,0.108893,0.482274,0.679337,2024-10-01,Pending Review,Hold price
CPG-00052,ORD-00052,CUST-00052,PROD-00052,2024-06-15,854.87,14.3,4891,High-Value,Delivered,Beverages,Carbonated Soft Drinks,300.36,11,112.56,3.88,56,TRUE,1.9887,1682,1.289,0.114774,0.041431,-0.127239,0.934848,2024-05-03,Pending Review,Decrease price
CPG-00053,ORD-00053,CUST-00053,PROD-00053,2024-11-15,17.51,33.33,1429,High-Value,Pending,Beverages,Carbonated Soft Drinks,3322.24,1,70.09,4.0,84,FALSE,1.996,1950,7.2718,0.002367,0.053074,-0.198593,0.71048,2024-11-06,Implemented,Increase price
CPG-00054,ORD-00054,CUST-00054,PROD-00054,2024-08-27,703.55,31.22,355,Low-Value,Shipped,Beverages,Carbonated Soft Drinks,3926.97,22,218.15,2.8,65,FALSE,1.644,256,1.1995,0.071847,0.080323,0.248878,0.745134,2024-07-29,Pending Review,Increase price
CPG-00055,ORD-00055,CUST-00055,PROD-00055,2024-12-14,86.5,17.95,4795,Low-Value,Cancelled,Beverages,Carbonated Soft Drinks,3575.16,13,397.96,3.13,43,FALSE,1.1889,4960,5.4473,0.118964,0.022883,0.22377,0.938853,2024-12-05,Rejected,Decrease price
CPG-00056,ORD-00056,CUST-00056,PROD-00056,2024-08-16,800.96,25.13,778,Medium-Value,Shipped,Beverages,Carbonated Soft Drinks,2162.48,22,116.86,2.45,433,TRUE,1.7484,3886,1.272,0.124766,0.018646,-0.222748,0.869398,2024-09-14,Implemented,Increase price
CPG-00057,ORD-00057,CUST-00057,PROD-00057,2024-09-25,512.09,52.67,3464,Low-Value,Pending,Beverages,Carbonated Soft Drinks,304.66,10,248.16,3.35,220,FALSE,0.3486,4157,2.9465,0.09851,0.044849,-0.213425,0.922687,2024-10-17,Pending Review,Increase price
CPG-00058,ORD-00058,CUST-00058,PROD-00058,2024-11-09,523.08,58.52,4560,High-Value,Shipped,Beverages,Carbonated Soft Drinks,3064.52,22,335.2,3.83,442,FALSE,0.1695,2239,8.581,0.046348,0.067965,-0.295115,0.934931,2024-10-04,Rejected,Bundle with promotion
CPG-00059,ORD-00059,CUST-00059,PROD-00059,2024-05-15,670.76,32.77,3081,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,2295.55,6,160.62,4.4,56,FALSE,1.9644,4650,7.3566,0.132501,0.031116,0.303549,0.524881,2024-03-28,Implemented,Hold price
CPG-00060,ORD-00060,CUST-00060,PROD-00060,2024-08-19,390.25,14.5,4197,High-Value,Pending,Beverages,Carbonated Soft Drinks,1758.61,4,127.63,3.12,222,FALSE,1.3646,2527,1.0223,0.05929,0.119865,-0.29385,0.65071,2024-09-05,Implemented,Decrease price
CPG-00061,ORD-00061,CUST-00061,PROD-00061,2024-11-09,271.16,26.98,1058,Medium-Value,Shipped,Beverages,Carbonated Soft Drinks,2686.28,8,210.1,1.42,264,FALSE,0.273,347,5.5165,0.068963,0.015573,-0.049551,0.714642,2024-09-22,Pending Review,Bundle with promotion
CPG-00062,ORD-00062,CUST-00062,PROD-00062,2024-07-11,373.45,56.96,3769,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,4602.86,3,185.95,4.38,97,TRUE,0.684,4825,5.1052,0.011797,0.174105,0.296644,0.610786,2024-05-20,Implemented,Increase price
CPG-00063,ORD-00063,CUST-00063,PROD-00063,2024-09-05,115.91,22.26,1209,High-Value,Pending,Beverages,Carbonated Soft Drinks,558.88,9,94.96,2.78,473,TRUE,1.9245,618,2.5372,0.115927,0.098823,0.303557,0.879939,2024-07-17,Pending Review,Hold price
CPG-00064,ORD-00064,CUST-00064,PROD-00064,2024-12-05,294.78,38.62,2250,Low-Value,Pending,Beverages,Carbonated Soft Drinks,328.05,17,48.19,2.54,250,FALSE,1.1846,467,4.7405,0.043062,0.128933,0.481895,0.545148,2025-01-02,Rejected,Bundle with promotion
CPG-00065,ORD-00065,CUST-00065,PROD-00065,2024-08-24,505.57,28.08,4683,Low-Value,Pending,Beverages,Carbonated Soft Drinks,981.79,20,200.74,3.77,468,TRUE,2.3985,3691,1.6903,0.134869,0.068688,0.271452,0.752275,2024-08-26,Implemented,Increase price
CPG-00066,ORD-00066,CUST-00066,PROD-00066,2024-06-30,402.42,11.21,3054,Medium-Value,Pending,Beverages,Carbonated Soft Drinks,1967.71,11,277.98,2.54,277,TRUE,1.9941,2742,1.258,0.014176,0.135676,-0.072682,0.861867,2024-08-08,Rejected,Decrease price
CPG-00067,ORD-00067,CUST-00067,PROD-00067,2024-07-22,530.72,58.13,3210,High-Value,Delivered,Beverages,Carbonated Soft Drinks,2995.45,3,137.64,1.49,189,FALSE,1.6444,2691,9.8516,0.100517,0.165792,0.29102,0.842707,2024-07-02,Rejected,Increase price
CPG-00068,ORD-00068,CUST-00068,PROD-00068,2024-10-10,608.35,19.91,1754,Medium-Value,Cancelled,Beverages,Carbonated Soft Drinks,4740.96,16,92.96,2.78,19,TRUE,0.4719,2424,10.2109,0.015171,0.154175,0.368096,0.941841,2024-09-16,Implemented,Hold price
CPG-00069,ORD-00069,CUST-00069,PROD-00069,2024-12-08,693.18,11.41,1356,Low-Value,Cancelled,Beverages,Carbonated Soft Drinks,2216.48,14,158.43,1.46,202,TRUE,2.427,2335,9.1525,0.11757,0.046801,-0.108665,0.982798,2024-11-28,Pending Review,Decrease price
CPG-00070,ORD-00070,CUST-00070,PROD-00070,2024-07-31,853.21,18.34,3128,Low-Value,Pending,Beverages,Carbonated Soft Drinks,2660.93,6,330.42,4.99,8,TRUE,2.1952,428,7.8736,0.131118,0.110908,-0.217928,0.922946,2024-09-18,Implemented,Hold price
CPG-00071,ORD-00071,CUST-00071,PROD-00071,2024-05-19,256.42,27.37,1818,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,4428.92,1,177.66,4.17,85,FALSE,1.3048,1932,4.9409,0.012241,0.044908,-0.045052,0.549542,2024-07-11,Rejected,Hold price
CPG-00072,ORD-00072,CUST-00072,PROD-00072,2024-11-16,136.78,42.37,1136,Low-Value,Delivered,Beverages,Carbonated Soft Drinks,2372.1,20,22.0,2.0,434,TRUE,0.1456,1767,10.1021,0.082321,0.145447,0.122217,0.555593,2024-10-16,Pending Review,Decrease price
CPG-00073,ORD-00073,CUST-00073,PROD-00073,2024-07-14,122.84,38.12,514,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,4191.6,16,246.76,1.83,337,TRUE,1.6167,4711,3.2823,0.021537,0.085848,0.191848,0.620282,2024-09-02,Pending Review,Decrease price
CPG-00074,ORD-00074,CUST-00074,PROD-00074,2024-10-15,606.37,57.3,4457,Low-Value,Cancelled,Beverages,Carbonated Soft Drinks,3942.74,17,230.58,2.83,194,FALSE,2.196,357,7.8102,0.147156,0.05073,-0.287006,0.89426,2024-10-19,Pending Review,Decrease price
CPG-00075,ORD-00075,CUST-00075,PROD-00075,2024-11-01,596.54,45.89,1092,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,1793.88,11,329.13,1.36,307,TRUE,2.0929,3807,11.7794,0.07178,0.036456,-0.192118,0.858023,2024-12-18,Pending Review,Increase price
CPG-00076,ORD-00076,CUST-00076,PROD-00076,2024-07-26,52.48,59.89,2249,Low-Value,Shipped,Snacks,Salty Snacks,4901.14,2,48.52,4.05,190,FALSE,0.9719,1311,11.4571,0.021417,0.121515,0.32505,0.517399,2024-09-03,Implemented,Decrease price
CPG-00077,ORD-00077,CUST-00077,PROD-00077,2024-11-13,339.2,37.1,3685,Medium-Value,Pending,Snacks,Salty Snacks,1891.47,3,238.09,2.34,300,FALSE,1.0553,2284,3.3705,0.017017,0.147135,0.099235,0.693494,2024-11-15,Rejected,Increase price
CPG-00078,ORD-00078,CUST-00078,PROD-00078,2024-07-04,638.07,42.25,4023,High-Value,Shipped,Snacks,Salty Snacks,657.06,3,191.78,1.75,323,FALSE,2.4934,2619,8.1802,0.106431,0.109999,-0.06771,0.649978,2024-07-22,Implemented,Decrease price
CPG-00079,ORD-00079,CUST-00079,PROD-00079,2024-11-17,334.92,10.05,4047,High-Value,Cancelled,Snacks,Salty Snacks,1836.44,19,160.19,1.78,112,TRUE,1.5687,707,1.2561,0.059724,0.143387,0.082932,0.705398,2025-01-06,Pending Review,Increase price
CPG-00080,ORD-00080,CUST-00080,PROD-00080,2024-05-30,875.56,41.45,2822,High-Value,Cancelled,Snacks,Salty Snacks,4395.9,18,263.12,3.25,240,TRUE,1.9427,1058,5.4751,0.136607,0.011083,-0.200671,0.576508,2024-06-28,Implemented,Decrease price
CPG-00081,ORD-00081,CUST-00081,PROD-00081,2024-07-19,842.24,53.91,646,Medium-Value,Cancelled,Snacks,Salty Snacks,1021.69,18,124.29,1.79,495,FALSE,1.5746,766,6.2796,0.025295,0.188321,-0.176645,0.829366,2024-06-15,Rejected,Hold price
CPG-00082,ORD-00082,CUST-00082,PROD-00082,2024-11-29,51.46,57.02,4724,Medium-Value,Pending,Snacks,Salty Snacks,3273.09,19,178.3,4.02,51,TRUE,1.2953,4470,3.8312,0.143498,0.096589,0.343751,0.842495,2024-11-26,Pending Review,Bundle with promotion
CPG-00083,ORD-00083,CUST-00083,PROD-00083,2024-05-16,68.02,13.83,4969,High-Value,Pending,Snacks,Salty Snacks,1597.28,23,141.34,2.54,257,FALSE,2.4409,1072,9.2476,0.077247,0.021237,-0.10661,0.561261,2024-06-14,Pending Review,Decrease price
CPG-00084,ORD-00084,CUST-00084,PROD-00084,2024-06-03,59.79,26.25,1308,Medium-Value,Delivered,Snacks,Salty Snacks,4672.07,24,138.83,4.31,452,TRUE,1.2958,4217,5.8684,0.131861,0.099474,-0.227961,0.696621,2024-07-12,Pending Review,Decrease price
CPG-00085,ORD-00085,CUST-00085,PROD-00085,2024-06-22,327.31,53.18,3855,Medium-Value,Pending,Snacks,Salty Snacks,2706.62,4,183.75,1.18,263,FALSE,1.846,3304,4.7083,0.060087,0.114056,-0.144276,0.776611,2024-07-30,Implemented,Bundle with promotion
CPG-00086,ORD-00086,CUST-00086,PROD-00086,2024-09-04,691.5,37.44,1054,High-Value,Shipped,Snacks,Salty Snacks,1999.82,11,231.98,1.98,329,FALSE,1.9119,1631,7.4283,0.060208,0.008051,-0.268869,0.856796,2024-07-22,Pending Review,Bundle with promotion
CPG-00087,ORD-00087,CUST-00087,PROD-00087,2024-06-05,805.42,20.47,3219,Low-Value,Pending,Snacks,Salty Snacks,3709.63,10,245.62,1.49,486,FALSE,1.801,2456,5.9613,0.002496,0.066248,-0.212316,0.70827,2024-04-26,Pending Review,Increase price
CPG-00088,ORD-00088,CUST-00088,PROD-00088,2024-09-27,435.01,35.55,1864,Low-Value,Cancelled,Snacks,Salty Snacks,304.21,16,84.79,4.38,410,FALSE,0.4547,1985,0.8631,0.142231,0.021979,-0.28485,0.656846,2024-11-15,Implemented,Bundle with promotion
CPG-00089,ORD-00089,CUST-00089,PROD-00089,2024-10-21,378.18,52.62,510,Low-Value,Delivered,Snacks,Salty Snacks,733.51,7,233.14,3.71,481,FALSE,1.3611,2571,11.5019,0.06895,0.106625,0.137019,0.837934,2024-11-20,Rejected,Hold price
CPG-00090,ORD-00090,CUST-00090,PROD-00090,2024-10-01,185.15,15.04,2438,Medium-Value,Shipped,Snacks,Salty Snacks,3539.26,23,287.9,1.86,295,FALSE,1.2515,4592,11.2376,0.119311,0.054692,-0.202501,0.838311,2024-10-20,Pending Review,Bundle with promotion
CPG-00091,ORD-00091,CUST-00091,PROD-00091,2024-11-23,859.83,18.68,647,Medium-Value,Shipped,Snacks,Salty Snacks,4623.85,21,117.45,3.82,158,FALSE,0.6136,4413,3.618,0.084303,0.054324,-0.212619,0.870445,2024-11-20,Implemented,Decrease price
CPG-00092,ORD-00092,CUST-00092,PROD-00092,2024-05-10,816.09,7.81,2705,Low-Value,Pending,Snacks,Salty Snacks,2388.4,22,312.89,1.79,129,TRUE,2.4148,1294,5.1794,0.140255,0.17568,0.081959,0.599728,2024-05-13,Pending Review,Hold price
