id,job,marital,education,age,balance,housing,loan,c_default,contact,month,day,duration,campaign,previous,poutcome,pdays,y
61,entrepreneur,divorced,tertiary,59,6993.99,yes,no,yes,unknown,oct,5,485,11,5,unknown,80,no
62,unemployed,divorced,secondary,41,26248.21,no,no,yes,cellular,dec,21,1953,10,1,success,-1,no
63,retired,married,primary,25,30633.22,yes,no,yes,cellular,jun,3,166,7,6,unknown,373,no
64,blue-collar,married,tertiary,61,30962.1,no,yes,no,unknown,jan,25,295,14,5,success,149,no
65,unknown,single,secondary,45,-356.57,no,yes,yes,telephone,apr,18,1707,15,0,other,50,no
66,student,single,unknown,54,-1054.19,no,no,no,telephone,jun,13,1152,9,0,success,52,no
67,unknown,married,unknown,77,40821.01,yes,yes,yes,telephone,may,2,320,3,8,success,158,no
68,unemployed,divorced,unknown,29,2741.17,no,no,no,telephone,jan,12,1578,19,5,other,-1,no
69,unemployed,divorced,tertiary,23,16162.19,yes,yes,yes,unknown,dec,26,699,9,0,other,348,no
70,unknown,married,secondary,27,35858.07,no,no,yes,cellular,oct,13,554,6,2,other,20,no
71,entrepreneur,divorced,secondary,19,15119.04,yes,no,yes,telephone,jun,7,1567,17,8,unknown,338,no
72,student,single,tertiary,44,43288.46,yes,no,no,cellular,jun,5,1528,20,0,other,-1,no
73,unknown,single,secondary,27,20172.02,no,yes,yes,unknown,nov,8,665,10,5,success,100,yes
74,housemaid,divorced,unknown,87,24104.33,no,no,yes,cellular,jul,7,787,14,7,success,-1,no
75,retired,divorced,secondary,53,-119.34,no,no,yes,cellular,aug,15,1045,12,2,success,-1,yes
76,student,married,tertiary,30,46439.05,yes,yes,yes,telephone,feb,18,387,18,10,success,145,no
77,self-employed,married,unknown,41,2299.16,yes,yes,no,telephone,nov,9,511,8,5,unknown,215,no
78,housemaid,married,secondary,22,4540.19,no,no,no,telephone,apr,2,1039,16,10,failure,-1,no
79,housemaid,single,tertiary,68,9332.05,yes,yes,no,unknown,feb,23,1656,13,8,unknown,21,no
80,technician,married,unknown,23,18828.75,yes,yes,no,cellular,feb,13,1755,6,2,unknown,-1,no
81,services,divorced,unknown,18,10831.43,yes,no,no,unknown,sep,4,1886,7,3,failure,-1,no
82,management,single,unknown,63,23190.47,yes,no,yes,unknown,feb,15,1774,8,2,unknown,336,no
83,housemaid,married,tertiary,69,6359.53,no,yes,yes,cellular,dec,23,795,14,8,failure,371,no
84,housemaid,divorced,tertiary,90,30130.99,no,no,no,cellular,dec,10,1546,19,1,failure,248,no
85,services,divorced,primary,83,10688.65,no,yes,no,unknown,oct,27,505,5,3,other,170,no
86,entrepreneur,single,secondary,33,25161.8,yes,no,yes,cellular,aug,10,1643,7,0,failure,77,no
87,management,divorced,tertiary,84,34557.37,no,yes,no,telephone,oct,22,295,5,7,unknown,-1,no
88,unknown,married,secondary,62,18025.99,yes,yes,no,telephone,oct,5,1757,13,9,success,349,yes
89,housemaid,married,unknown,90,28644.38,no,yes,no,unknown,mar,9,869,16,1,unknown,375,no
90,services,single,unknown,87,28853.96,yes,no,yes,cellular,mar,3,1418,19,1,unknown,182,yes
91,entrepreneur,married,unknown,66,42236.92,no,yes,no,telephone,feb,10,1339,4,9,failure,95,yes
92,technician,married,tertiary,65,10578.62,yes,yes,no,cellular,jun,7,1292,1,0,failure,303,no
93,retired,divorced,unknown,36,6294.97,yes,no,yes,unknown,oct,21,915,14,2,other,320,no
94,self-employed,single,primary,58,19099.74,yes,no,no,telephone,jun,18,1859,4,2,success,289,yes
95,blue-collar,single,unknown,63,33940.14,no,yes,no,telephone,may,22,548,8,7,unknown,1,no
96,entrepreneur,single,unknown,90,21831.84,yes,yes,yes,cellular,may,12,418,11,9,failure,194,no
97,retired,married,secondary,62,11692.34,no,yes,no,cellular,apr,5,1575,6,4,other,344,yes
98,blue-collar,single,tertiary,45,36786.07,no,no,no,unknown,oct,11,1815,18,1,failure,76,no
99,technician,divorced,secondary,84,41430.92,yes,no,no,telephone,feb,13,841,15,8,unknown,226,no
100,blue-collar,single,secondary,95,-39.82,no,no,yes,telephone,dec,3,82,16,10,unknown,-1,no
101,management,divorced,unknown,83,8532.62,no,no,no,unknown,mar,2,223,17,1,unknown,364,no
102,management,married,secondary,20,174.51,yes,no,no,telephone,jul,18,1680,8,10,unknown,75,no
103,housemaid,divorced,tertiary,65,27332.74,yes,no,yes,cellular,jan,17,684,15,8,failure,288,no
104,student,divorced,tertiary,73,48843.3,no,yes,yes,unknown,feb,24,737,6,10,success,246,no
105,technician,single,unknown,81,44239.54,yes,no,yes,cellular,mar,11,794,2,7,other,-1,yes
106,services,divorced,primary,65,1762.16,yes,no,yes,cellular,oct,21,236,8,1,other,-1,yes
107,technician,married,primary,60,40605.94,yes,no,yes,telephone,jan,16,332,20,2,unknown,195,no
108,blue-collar,single,tertiary,56,27420.79,no,no,yes,cellular,apr,27,211,14,9,failure,95,no
109,retired,divorced,unknown,55,18616.73,no,yes,yes,cellular,mar,4,340,3,2,failure,-1,no
110,entrepreneur,married,tertiary,20,5894.69,no,yes,yes,unknown,apr,13,1203,4,2,failure,-1,no
111,unknown,divorced,primary,83,13401.6,no,yes,yes,cellular,jul,4,1909,13,5,other,131,no
112,technician,single,tertiary,39,48989.25,yes,no,no,cellular,jan,14,975,5,1,unknown,198,no
113,admin.,married,tertiary,25,24813.91,yes,no,yes,telephone,oct,15,1426,7,2,failure,69,no
114,blue-collar,single,unknown,18,46640.61,no,yes,no,unknown,sep,23,1832,6,5,unknown,354,no
115,student,married,tertiary,38,23325.81,no,yes,no,telephone,mar,25,1143,14,10,success,-1,no
116,self-employed,divorced,tertiary,34,25723.41,yes,yes,no,unknown,dec,19,1760,6,3,failure,33,no
117,self-employed,single,tertiary,44,35921.09,yes,yes,no,cellular,feb,13,873,14,6,other,-1,no
118,blue-collar,divorced,secondary,88,26521.14,no,no,no,unknown,jan,25,339,6,7,failure,10,no
119,housemaid,married,secondary,58,71.16,yes,no,yes,cellular,jan,16,1549,2,1,unknown,-1,no
120,retired,divorced,unknown,87,1284.34,yes,yes,yes,unknown,sep,2,745,9,3,unknown,132,no
121,services,married,secondary,58,10261.56,no,no,yes,cellular,jun,23,1393,12,9,other,-1,no
122,self-employed,married,secondary,91,640.76,no,yes,no,telephone,dec,10,159,16,0,unknown,-1,no
123,self-employed,single,tertiary,59,12331.27,no,no,yes,unknown,jan,17,943,2,0,success,322,no
124,self-employed,married,primary,65,29657.64,no,yes,yes,telephone,dec,26,1624,9,7,unknown,72,no
125,student,married,primary,36,634.75,yes,no,yes,cellular,aug,25,1420,1,10,success,41,no
126,blue-collar,single,unknown,53,36638.77,yes,no,no,unknown,nov,19,1563,1,4,unknown,-1,no
127,services,married,primary,22,13556.24,no,no,yes,cellular,mar,20,1194,16,0,failure,-1,no
128,retired,single,unknown,30,18271.27,no,no,no,telephone,mar,15,821,11,5,success,18,no
129,unemployed,divorced,secondary,42,16751.64,no,no,no,unknown,nov,22,1598,6,3,failure,136,no
130,student,married,unknown,95,2600.35,yes,no,no,telephone,mar,24,798,16,8,failure,-1,no
131,entrepreneur,married,unknown,58,25316.28,no,yes,no,unknown,apr,17,634,3,5,success,102,no
132,unemployed,single,secondary,47,46444.66,yes,no,no,telephone,oct,9,1569,10,2,unknown,321,no
133,retired,single,secondary,72,3663.03,no,no,yes,cellular,jun,17,1582,15,9,unknown,-1,no
134,blue-collar,married,tertiary,59,47020.21,yes,no,no,cellular,jul,28,441,13,4,failure,-1,no
135,services,married,unknown,21,43985.23,yes,yes,no,telephone,sep,28,185,13,10,other,-1,no
136,student,single,tertiary,36,1296.06,no,no,yes,telephone,jun,20,204,17,6,success,291,no
137,management,divorced,unknown,68,37254.11,no,no,no,telephone,oct,22,542,9,6,success,295,no
138,management,single,secondary,94,-892.34,yes,yes,yes,telephone,jun,12,626,12,2,failure,86,no
139,unknown,divorced,unknown,62,27420.16,yes,no,yes,unknown,may,12,1804,8,3,unknown,46,yes
140,housemaid,divorced,tertiary,24,-653.25,no,no,yes,unknown,feb,26,1355,12,10,unknown,-1,no
141,admin.,married,unknown,75,35846.18,yes,no,no,unknown,nov,19,1878,18,7,other,388,no
142,admin.,married,primary,91,-1723.97,yes,yes,yes,telephone,apr,8,132,10,2,other,-1,no
143,admin.,married,secondary,59,911.2,yes,no,yes,telephone,jun,15,1862,4,7,other,-1,no
144,retired,divorced,tertiary,50,48798.52,yes,yes,no,unknown,jun,2,59,9,2,unknown,-1,no
145,admin.,married,primary,25,15768.39,yes,yes,no,unknown,may,14,1171,15,4,unknown,-1,no
146,admin.,divorced,secondary,66,24266.3,yes,yes,no,cellular,mar,5,1553,6,1,other,151,no
147,student,married,primary,31,28139.98,yes,yes,yes,telephone,feb,5,1996,9,8,other,-1,no
148,housemaid,single,primary,67,17428.16,yes,yes,no,telephone,jun,26,1042,5,9,other,-1,no
149,retired,divorced,primary,36,18280.09,no,no,yes,telephone,oct,26,725,10,6,other,288,no
150,self-employed,single,primary,66,38428.92,yes,yes,yes,telephone,nov,26,915,6,2,success,-1,no
151,unknown,single,unknown,60,23189.6,yes,yes,yes,unknown,jan,10,1510,1,3,failure,172,no
152,self-employed,single,primary,26,5435.83,yes,yes,no,cellular,nov,16,168,6,3,unknown,12,no
153,self-employed,single,tertiary,51,17380.96,yes,no,no,telephone,feb,20,1121,13,4,unknown,-1,yes
154,self-employed,divorced,primary,80,19841.6,no,yes,yes,unknown,feb,12,1471,20,9,failure,303,yes
155,services,single,secondary,56,17010.07,yes,no,yes,cellular,feb,1,303,19,6,other,-1,no
156,admin.,divorced,secondary,64,38082.37,yes,yes,yes,telephone,dec,26,379,10,7,unknown,2,no
157,unemployed,single,secondary,28,46351.35,no,no,no,cellular,jan,2,655,13,5,other,188,no
158,unemployed,divorced,primary,70,38918.58,no,no,no,unknown,feb,15,1275,10,7,success,380,no
159,unemployed,divorced,primary,25,6553.63,no,yes,yes,telephone,may,4,500,12,6,other,-1,no
160,admin.,single,tertiary,24,33804.92,yes,yes,no,telephone,jul,13,918,2,0,success,86,no
161,technician,single,secondary,93,39062.58,no,yes,no,telephone,mar,9,81,12,6,other,-1,yes
162,self-employed,divorced,primary,46,431.79,no,no,no,unknown,mar,5,431,16,7,failure,384,no
163,technician,divorced,tertiary,62,39627.56,no,no,no,cellular,oct,12,766,18,5,success,-1,no
164,unknown,divorced,secondary,95,43363.84,no,no,yes,cellular,jan,21,1583,10,10,success,319,no
165,entrepreneur,single,unknown,34,3326.47,no,no,no,telephone,jun,8,625,12,0,failure,399,no
166,housemaid,divorced,primary,86,49858.67,yes,no,yes,unknown,aug,5,335,4,7,success,60,no
167,services,married,unknown,27,49469.72,no,no,no,unknown,oct,26,1741,1,5,unknown,-1,yes
168,management,married,primary,58,21391.02,no,no,no,unknown,sep,17,1928,4,6,failure,-1,no
169,technician,divorced,unknown,26,6912.4,yes,no,no,unknown,jun,26,1287,7,4,unknown,69,no
170,unemployed,divorced,secondary,39,20744.65,yes,no,yes,cellular,feb,20,1741,2,8,other,12,no
171,blue-collar,single,tertiary,75,19341.4,yes,yes,yes,unknown,apr,4,466,14,8,success,146,no
172,blue-collar,married,unknown,39,26750.04,yes,yes,yes,unknown,jan,18,1030,1,9,failure,374,no
173,blue-collar,divorced,primary,19,45156.0,no,no,yes,cellular,may,9,807,6,9,unknown,-1,no
174,housemaid,divorced,tertiary,48,6238.85,yes,yes,yes,unknown,mar,17,1321,5,1,failure,119,yes
175,management,married,primary,77,42637.31,no,yes,yes,telephone,nov,11,1149,2,6,failure,222,yes
176,admin.,divorced,tertiary,45,25809.46,no,yes,yes,cellular,jul,20,155,14,6,failure,240,no
177,unemployed,married,secondary,59,15175.5,no,yes,yes,unknown,may,7,1359,10,4,success,239,no
178,admin.,divorced,tertiary,68,37740.51,no,no,yes,telephone,mar,17,1328,20,4,failure,-1,no
179,blue-collar,divorced,primary,36,17678.35,yes,yes,no,telephone,feb,6,1524,2,1,success,-1,no
180,retired,single,unknown,18,5986.12,no,no,no,cellular,jan,17,185,13,9,failure,334,no
181,blue-collar,single,secondary,39,2872.28,yes,no,yes,telephone,may,2,1866,16,0,success,280,no
182,management,married,secondary,91,14676.28,yes,yes,yes,telephone,may,2,1644,9,6,unknown,14,no
183,student,divorced,primary,44,6072.18,yes,yes,yes,telephone,feb,28,118,15,3,other,-1,yes
184,management,married,unknown,22,48807.45,no,no,no,cellular,jan,17,160,5,8,unknown,81,no
185,student,married,secondary,58,3520.41,no,yes,no,cellular,mar,22,1750,5,10,unknown,389,no
186,technician,divorced,unknown,70,6747.58,no,no,yes,unknown,jan,10,1084,16,6,unknown,43,no
187,retired,divorced,unknown,34,32971.48,yes,yes,yes,unknown,apr,2,900,3,2,failure,326,no
188,management,single,secondary,22,46255.47,yes,no,yes,unknown,jan,19,24,14,8,failure,214,no
189,retired,single,primary,66,36962.39,yes,yes,yes,unknown,dec,1,1792,11,9,other,43,no
190,retired,married,unknown,48,27836.95,yes,no,yes,cellular,feb,22,1483,20,4,failure,301,no
191,blue-collar,divorced,secondary,44,49021.58,yes,yes,yes,unknown,jan,10,1142,9,8,failure,230,no
192,unemployed,married,primary,83,46371.11,no,no,yes,telephone,apr,9,1579,12,8,unknown,232,no
193,technician,married,tertiary,36,16238.06,yes,no,no,cellular,nov,8,1955,18,1,failure,301,no
194,unknown,divorced,unknown,53,5619.65,no,yes,yes,cellular,feb,4,1368,1,3,failure,-1,no
195,services,married,secondary,22,20552.4,yes,yes,yes,telephone,feb,12,1723,10,3,success,-1,no
196,retired,single,primary,47,24772.34,no,no,no,unknown,feb,22,1615,9,1,failure,-1,no
197,housemaid,divorced,primary,92,45239.97,no,yes,no,telephone,aug,18,398,8,0,other,302,no
198,student,single,primary,63,41383.24,yes,yes,no,telephone,jun,5,1211,14,3,failure,273,yes
199,admin.,single,primary,18,34141.28,no,yes,yes,unknown,jan,5,368,1,4,unknown,384,no
200,retired,married,primary,28,38556.84,yes,no,no,telephone,dec,5,953,6,8,other,275,no
201,student,married,tertiary,86,48432.53,no,no,no,unknown,dec,5,1069,2,5,unknown,348,no
202,blue-collar,divorced,tertiary,84,13078.31,yes,no,yes,telephone,jul,13,992,3,6,other,-1,no
203,admin.,single,secondary,18,9216.99,no,no,yes,cellular,sep,11,84,7,0,unknown,-1,no
204,blue-collar,married,tertiary,46,3373.3,yes,no,no,telephone,may,26,1318,11,2,unknown,240,no
205,self-employed,single,primary,64,29828.63,yes,no,yes,unknown,may,10,459,14,5,unknown,331,yes
206,unknown,married,unknown,64,19723.23,no,no,no,cellular,dec,10,7,8,5,failure,228,no
207,unknown,married,tertiary,77,28340.68,yes,no,no,cellular,dec,22,330,16,8,failure,-1,no
208,blue-collar,single,primary,70,24558.14,no,yes,no,unknown,mar,23,1261,19,9,failure,56,no
209,technician,divorced,secondary,64,39305.02,no,yes,yes,cellular,dec,7,141,14,6,other,117,no
210,management,divorced,secondary,41,4680.78,yes,yes,no,unknown,may,27,243,15,3,failure,347,no
211,student,married,primary,62,43187.34,yes,no,no,unknown,feb,2,1400,1,8,unknown,-1,no
212,student,single,secondary,77,46137.33,yes,yes,yes,cellular,sep,12,161,12,10,failure,-1,no
213,admin.,divorced,primary,53,6189.07,yes,no,yes,unknown,mar,10,451,16,10,other,17,yes
214,unknown,divorced,unknown,65,24590.43,yes,no,no,telephone,apr,8,1896,14,6,failure,-1,no
215,entrepreneur,divorced,primary,88,24543.77,no,yes,yes,telephone,aug,26,1529,13,7,unknown,205,no
216,services,divorced,unknown,82,43963.31,yes,yes,no,telephone,nov,8,534,19,2,failure,400,no
217,admin.,single,tertiary,27,21394.74,no,yes,yes,telephone,may,22,329,12,8,success,-1,no
218,housemaid,single,secondary,33,7027.99,no,yes,yes,unknown,mar,9,1647,3,2,unknown,347,yes
219,entrepreneur,divorced,tertiary,95,31787.43,no,no,no,telephone,may,20,273,1,4,unknown,5,yes
220,self-employed,single,tertiary,93,38887.56,no,yes,no,cellular,jul,22,699,17,9,failure,55,no
221,technician,single,unknown,42,25210.31,no,yes,no,cellular,may,25,1278,17,9,failure,-1,no
222,unknown,single,secondary,42,9362.43,yes,yes,yes,cellular,may,19,922,9,7,failure,-1,yes
223,student,divorced,primary,29,34295.8,no,no,no,cellular,jul,5,1580,19,5,success,-1,yes
224,admin.,divorced,tertiary,18,44543.92,no,no,yes,unknown,dec,18,689,5,3,other,18,no
225,services,married,primary,77,9953.12,yes,no,yes,telephone,mar,10,1820,8,6,unknown,159,no
226,unknown,divorced,unknown,65,37548.22,no,yes,no,telephone,sep,2,1126,2,1,unknown,189,no
227,student,married,tertiary,80,12030.9,no,yes,yes,telephone,jul,19,1384,15,2,other,197,no
228,blue-collar,divorced,primary,42,24033.82,yes,no,yes,telephone,sep,27,678,14,8,failure,-1,no
229,blue-collar,married,tertiary,44,1124.47,yes,no,yes,unknown,mar,19,209,9,1,unknown,56,no
230,housemaid,single,secondary,74,8067.92,no,yes,yes,cellular,jun,20,92,7,1,failure,352,no
231,unknown,single,unknown,68,42786.97,yes,no,yes,unknown,mar,13,297,19,9,success,-1,no
232,housemaid,divorced,unknown,26,16878.84,no,no,yes,unknown,mar,21,1634,4,10,failure,345,yes
233,student,single,secondary,23,29223.17,yes,yes,no,telephone,feb,8,1202,18,2,success,-1,no
234,housemaid,married,unknown,89,20953.84,yes,yes,no,cellular,nov,22,1477,15,0,failure,-1,no
235,blue-collar,single,unknown,91,22871.49,no,yes,no,cellular,jun,8,232,18,2,failure,294,no
236,self-employed,married,primary,51,3673.55,yes,no,yes,cellular,oct,3,1670,9,4,unknown,386,no
237,unemployed,single,secondary,64,33460.46,yes,yes,yes,cellular,jun,22,1573,15,7,other,-1,no
238,unknown,single,primary,74,24640.26,yes,yes,no,cellular,dec,26,1973,13,5,unknown,176,no
239,entrepreneur,divorced,unknown,63,4595.98,no,yes,no,telephone,jan,2,1108,19,9,other,-1,yes
240,blue-collar,single,unknown,51,47990.45,yes,yes,no,cellular,aug,25,1180,14,9,other,85,no
241,entrepreneur,divorced,unknown,42,24129.68,yes,no,no,unknown,nov,3,153,8,7,unknown,-1,no
242,management,divorced,unknown,40,42164.05,yes,yes,no,cellular,feb,15,1891,11,4,other,-1,no
243,admin.,divorced,unknown,47,47672.54,no,yes,no,telephone,jul,26,211,6,9,failure,46,yes
244,retired,divorced,tertiary,56,46782.15,yes,yes,no,unknown,mar,3,1396,1,4,success,-1,no
245,blue-collar,divorced,tertiary,69,41640.7,no,yes,no,cellular,mar,27,1141,4,7,unknown,-1,no
246,student,single,secondary,39,19332.94,no,yes,no,cellular,may,8,982,9,10,failure,344,no
247,unknown,married,secondary,92,15030.5,yes,no,yes,telephone,may,22,586,8,4,success,-1,yes
248,unemployed,married,unknown,45,25164.92,yes,yes,yes,telephone,sep,26,1211,16,4,failure,-1,no
249,entrepreneur,married,secondary,21,13680.09,yes,no,no,cellular,apr,7,513,18,10,other,27,no
250,self-employed,divorced,secondary,25,13916.09,yes,no,yes,cellular,feb,28,1781,14,3,failure,194,no
251,management,married,unknown,71,11404.59,no,no,yes,cellular,mar,16,1960,8,9,success,205,no
252,entrepreneur,divorced,tertiary,79,46979.49,yes,yes,no,telephone,mar,22,60,20,8,other,-1,no
253,self-employed,married,secondary,59,47122.33,yes,no,yes,telephone,jan,27,765,11,9,unknown,23,no
254,admin.,divorced,tertiary,80,22936.38,yes,no,no,cellular,jan,1,1908,6,3,success,332,no
255,blue-collar,married,tertiary,57,3757.65,yes,no,no,unknown,apr,26,1822,17,8,success,-1,no
256,unknown,single,primary,93,26660.41,yes,yes,yes,unknown,oct,27,1564,2,9,unknown,-1,no
257,management,married,unknown,26,-1424.05,yes,yes,no,unknown,oct,4,731,16,10,unknown,284,no
258,student,single,tertiary,75,1598.9,no,yes,yes,cellular,jun,11,1317,18,5,success,-1,no
259,blue-collar,divorced,unknown,52,45619.4,no,no,yes,unknown,aug,19,1596,17,3,success,99,no
260,admin.,single,unknown,69,16971.96,yes,no,no,unknown,apr,13,602,8,6,success,316,no
261,technician,married,primary,75,11674.26,no,yes,yes,telephone,jun,18,188,11,7,unknown,256,no
262,student,divorced,unknown,89,37190.54,yes,no,yes,cellular,jan,2,1544,9,9,other,-1,no
263,self-employed,married,tertiary,46,35027.2,no,yes,no,unknown,may,2,811,5,1,failure,188,no
264,self-employed,married,tertiary,54,23555.94,no,yes,yes,cellular,may,2,1895,13,2,success,26,no
265,blue-collar,divorced,unknown,82,11153.7,no,yes,no,unknown,may,22,492,15,9,unknown,-1,no
266,entrepreneur,married,primary,83,40030.41,no,yes,no,telephone,feb,25,1463,7,4,success,-1,no
267,technician,married,unknown,38,20020.02,yes,yes,yes,cellular,mar,16,64,1,3,unknown,-1,no
268,technician,divorced,tertiary,87,42641.42,no,no,no,cellular,dec,16,900,11,3,success,68,no
269,retired,divorced,tertiary,52,15402.58,yes,yes,no,telephone,oct,20,1580,1,1,unknown,24,no
270,blue-collar,married,tertiary,42,30210.63,no,yes,no,unknown,aug,12,1261,2,1,unknown,128,no
271,student,divorced,unknown,77,16102.63,no,no,yes,telephone,jul,25,1677,10,2,failure,-1,yes
272,unknown,single,unknown,89,29599.19,yes,yes,yes,telephone,apr,24,1603,18,4,unknown,360,no
273,unemployed,married,secondary,57,33727.59,no,yes,no,cellular,jul,9,1996,18,10,success,-1,no
274,blue-collar,divorced,unknown,89,44610.92,yes,yes,yes,cellular,feb,21,1447,1,3,success,-1,no
275,blue-collar,single,secondary,81,1506.87,no,yes,yes,telephone,nov,26,645,11,6,unknown,228,no
276,housemaid,divorced,unknown,75,6469.5,yes,no,no,cellular,mar,11,422,3,2,failure,182,no
277,technician,single,primary,50,49467.89,no,yes,no,telephone,jun,18,1800,3,4,other,399,no
