risk_profile_id,customer_id,institution_id,product_type,risk_pattern,base_risk_score,total_exposure,relationship_length_months,products_held,repayment_history_score,recent_transaction_volatility,collateral_quality_score,liquidity_ratio,projected_cash_flow_rating,primary_risk_factors,risk_factor_weights
15,CUST-C0019,INST-011,Credit Card,Volatile,0.6516,3080772.91,63,3,5,0.7754,0.5689,0.2866,0.4477,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
16,CUST-C0061,INST-011,Personal Loan,Volatile,0.5212,3036777.75,82,2,4,0.2348,0.7401,0.3257,0.3303,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
17,CUST-C0216,INST-016,Credit Card,Deteriorating,0.8048,544651.73,20,2,5,0.7834,0.2777,1.8061,0.8547,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
18,CUST-C0223,INST-004,Credit Card,Volatile,0.5974,7026.68,70,3,2,0.0187,0.7635,0.5724,0.0691,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
19,CUST-C0074,INST-008,Line of Credit,Improving,0.2431,4512372.44,107,2,6,0.0296,0.8591,0.1106,0.3379,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
20,CUST-C0249,INST-010,Line of Credit,Deteriorating,0.2533,46035.51,15,1,9,0.8003,0.8947,0.2858,0.257,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
21,CUST-C0220,INST-003,Mortgage,Stable,0.2803,786882.75,41,4,9,0.8378,0.9959,1.2167,0.8191,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
22,CUST-C0146,INST-006,Line of Credit,Improving,0.1373,93461.45,1,1,7,0.6004,0.8606,1.6138,0.5117,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
23,CUST-C0246,INST-013,Personal Loan,Deteriorating,0.687,19684.14,62,5,2,0.6989,0.0234,1.0911,0.0549,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
24,CUST-C0088,INST-001,Credit Card,Stable,0.2062,95210.57,33,5,8,0.3304,0.6126,1.1235,0.0029,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
25,CUST-C0001,INST-017,Personal Loan,Volatile,0.8887,2132678.89,64,4,2,0.0532,0.6299,0.0752,0.7045,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
26,CUST-C0101,INST-009,Business Loan,Stable,0.3337,290672.44,61,5,5,0.7361,0.2654,0.5987,0.3185,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
27,CUST-C0056,INST-020,Line of Credit,Stable,0.6485,575542.07,115,1,2,0.7243,0.3178,1.9499,0.9673,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
28,CUST-C0137,INST-003,Credit Card,Volatile,0.7451,2851181.66,40,1,4,0.5897,0.1815,1.081,0.5446,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
29,CUST-C0069,INST-014,Line of Credit,Stable,0.5838,649468.91,91,4,5,0.9777,0.3751,0.5646,0.2764,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
30,CUST-C0153,INST-008,Personal Loan,Stable,0.0015,639574.15,40,4,2,0.9343,0.0471,0.3783,0.2433,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
31,CUST-C0198,INST-011,Line of Credit,Stable,0.611,5270.41,50,3,1,0.5175,0.4297,0.4155,0.2212,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
32,CUST-C0132,INST-003,Business Loan,Stable,0.2451,4541951.63,107,3,10,0.5202,0.8185,1.7048,0.6143,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
33,CUST-C0015,INST-012,Business Loan,Volatile,0.9701,924012.03,28,1,5,0.0788,0.4445,0.5178,0.6539,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
34,CUST-C0121,INST-012,Personal Loan,Improving,0.6833,857757.68,73,5,5,0.4677,0.2046,1.7104,0.8397,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
35,CUST-C0242,INST-003,Mortgage,Deteriorating,0.6576,2626885.81,38,4,2,0.5644,0.8841,0.4267,0.5717,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
36,CUST-C0035,INST-014,Personal Loan,Improving,0.5673,5540.37,107,2,10,0.1373,0.122,1.5722,0.9806,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
37,CUST-C0017,INST-013,Business Loan,Volatile,0.6361,842850.94,76,2,8,0.7773,0.3323,0.7994,0.0549,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
38,CUST-C0047,INST-011,Credit Card,Stable,0.1876,2415160.59,113,4,1,0.7053,0.6399,1.1013,0.1685,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
39,CUST-C0169,INST-005,Credit Card,Deteriorating,0.0315,1637.87,62,1,8,0.0733,0.0917,0.0829,0.7192,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
40,CUST-C0059,INST-008,Personal Loan,Improving,0.3694,1568493.63,1,1,3,0.2036,0.7231,1.0537,0.5559,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
41,CUST-C0009,INST-014,Credit Card,Volatile,0.8393,108002.7,12,3,4,0.7444,0.9483,0.6189,0.3996,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
42,CUST-C0064,INST-003,Business Loan,Deteriorating,0.2849,41916.79,33,5,1,0.3721,0.3026,1.6293,0.1664,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
43,CUST-C0013,INST-006,Credit Card,Stable,0.3632,2468390.89,34,5,8,0.3005,0.861,1.1769,0.8526,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
44,CUST-C0223,INST-009,Mortgage,Improving,0.0004,1773555.23,60,4,8,0.0363,0.7383,1.9945,0.5597,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
45,CUST-C0040,INST-005,Line of Credit,Stable,0.6073,621266.93,77,3,7,0.1365,0.5306,1.2575,0.8917,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
46,CUST-C0223,INST-009,Personal Loan,Deteriorating,0.309,55656.46,84,4,4,0.1879,0.6262,0.2776,0.9264,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
47,CUST-C0037,INST-004,Business Loan,Deteriorating,0.1576,20920.77,102,5,7,0.3959,0.5939,0.1236,0.7459,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
48,CUST-C0130,INST-001,Credit Card,Volatile,0.0944,8693.31,28,4,7,0.18,0.6471,0.9656,0.1962,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
49,CUST-C0192,INST-020,Credit Card,Deteriorating,0.821,694629.46,9,2,3,0.4874,0.3116,1.4965,0.2401,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
50,CUST-C0035,INST-004,Mortgage,Volatile,0.6573,266355.49,81,5,1,0.8597,0.4774,1.9968,0.5595,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
51,CUST-C0224,INST-001,Mortgage,Stable,0.6231,7913.17,106,2,6,0.5588,0.7411,0.1179,0.8648,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
52,CUST-C0100,INST-004,Personal Loan,Volatile,0.3492,165284.42,26,2,5,0.7076,0.7378,0.0111,0.8063,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
53,CUST-C0226,INST-016,Line of Credit,Stable,0.6413,17621.53,81,4,1,0.3986,0.9761,1.4149,0.2323,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
54,CUST-C0161,INST-016,Mortgage,Stable,0.1535,991057.01,92,5,8,0.7042,0.7697,0.3337,0.2131,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
55,CUST-C0180,INST-001,Personal Loan,Volatile,0.72,10852.75,93,4,9,0.3902,0.9601,1.1292,0.5992,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
56,CUST-C0173,INST-005,Business Loan,Stable,0.2834,3085056.82,30,2,4,0.2857,0.3153,0.2287,0.5156,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
57,CUST-C0067,INST-015,Personal Loan,Volatile,0.9496,1753272.04,110,2,2,0.8119,0.1869,0.8749,0.0558,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
58,CUST-C0028,INST-017,Line of Credit,Stable,0.0815,30423.96,86,5,4,0.791,0.3055,0.8199,0.8756,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
59,CUST-C0137,INST-005,Line of Credit,Volatile,0.2948,5495.54,78,2,9,0.1191,0.6392,1.5883,0.0783,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
60,CUST-C0075,INST-019,Credit Card,Improving,0.5387,79818.17,2,4,5,0.9917,0.4907,1.8508,0.2059,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
61,CUST-C0195,INST-020,Line of Credit,Volatile,0.4153,354932.34,12,1,4,0.594,0.0729,1.7929,0.6128,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
62,CUST-C0155,INST-002,Credit Card,Volatile,0.355,8106.44,39,2,7,0.8569,0.5874,1.9063,0.46,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
63,CUST-C0173,INST-019,Business Loan,Stable,0.2007,52112.32,31,3,8,0.2526,0.0042,0.3594,0.4933,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
64,CUST-C0037,INST-013,Mortgage,Deteriorating,0.6529,905444.27,89,1,3,0.6567,0.2423,1.3316,0.7044,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
65,CUST-C0228,INST-015,Line of Credit,Stable,0.8602,80115.9,10,2,10,0.36,0.1243,1.7791,0.7284,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
66,CUST-C0223,INST-011,Line of Credit,Deteriorating,0.0168,813284.1,19,3,4,0.6454,0.7664,0.7634,0.0005,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
67,CUST-C0118,INST-018,Mortgage,Volatile,0.6628,902296.87,38,2,8,0.3788,0.4288,1.7188,0.749,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
68,CUST-C0043,INST-007,Line of Credit,Volatile,0.5525,46713.55,9,5,5,0.3558,0.9057,0.7979,0.3016,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
69,CUST-C0028,INST-014,Credit Card,Stable,0.5042,13397.15,31,3,3,0.6697,0.3884,0.5128,0.9669,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
70,CUST-C0029,INST-002,Line of Credit,Volatile,0.5076,844451.38,3,2,4,0.5063,0.1093,0.795,0.3253,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
71,CUST-C0238,INST-019,Mortgage,Improving,0.6417,82922.8,89,5,8,0.7475,0.8168,0.7236,0.7567,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
72,CUST-C0037,INST-012,Line of Credit,Improving,0.0842,3353604.85,87,2,10,0.0585,0.8779,1.2092,0.7944,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
73,CUST-C0209,INST-011,Line of Credit,Stable,0.8129,3145771.46,101,5,10,0.5924,0.2359,1.6531,0.2379,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
74,CUST-C0097,INST-020,Line of Credit,Improving,0.3624,3032338.95,100,2,4,0.5481,0.2643,1.9728,0.9059,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
75,CUST-C0181,INST-014,Personal Loan,Volatile,0.4729,4779.43,116,1,8,0.1692,0.6785,0.8602,0.009,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
76,CUST-C0248,INST-012,Line of Credit,Deteriorating,0.1738,4625004.09,72,1,5,0.882,0.0039,0.3777,0.2446,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
77,CUST-C0060,INST-016,Mortgage,Deteriorating,0.1655,498658.36,62,1,1,0.8141,0.1461,1.1216,0.7697,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
78,CUST-C0176,INST-002,Personal Loan,Stable,0.1436,93339.86,14,4,2,0.7878,0.6807,0.9511,0.1431,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
79,CUST-C0212,INST-012,Mortgage,Improving,0.1079,94209.09,55,3,4,0.9039,0.7576,0.4462,0.6747,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
80,CUST-C0180,INST-015,Business Loan,Improving,0.1509,3205029.75,93,4,6,0.5794,0.9511,0.4467,0.1414,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
81,CUST-C0068,INST-009,Personal Loan,Stable,0.8105,839774.01,51,4,4,0.7401,0.7415,0.0958,0.5903,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
82,CUST-C0229,INST-007,Business Loan,Deteriorating,0.0296,2291.64,119,1,3,0.3671,0.7855,1.0335,0.6688,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
83,CUST-C0046,INST-006,Line of Credit,Improving,0.4897,113497.54,18,1,6,0.6427,0.7521,1.9285,0.1545,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
84,CUST-C0167,INST-015,Personal Loan,Deteriorating,0.5992,3628.38,94,3,3,0.9253,0.5485,1.8962,0.1519,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
85,CUST-C0127,INST-020,Business Loan,Stable,0.4395,9286.61,89,3,6,0.1217,0.7238,1.9035,0.2111,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
86,CUST-C0002,INST-007,Personal Loan,Improving,0.6349,880825.12,91,3,6,0.6256,0.7987,1.632,0.5529,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
87,CUST-C0241,INST-002,Personal Loan,Volatile,0.4572,734122.52,23,2,6,0.9111,0.4488,1.6687,0.9166,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
88,CUST-C0211,INST-002,Credit Card,Deteriorating,0.053,833668.8,97,3,1,0.7987,0.8489,1.9418,0.0785,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
89,CUST-C0108,INST-001,Credit Card,Improving,0.8652,58942.05,3,1,8,0.0598,0.4278,0.5425,0.6032,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
90,CUST-C0228,INST-014,Credit Card,Improving,0.6318,3094342.35,95,2,9,0.2089,0.3663,1.1686,0.4273,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
91,CUST-C0005,INST-014,Personal Loan,Stable,0.7279,329086.11,74,5,7,0.114,0.9759,0.6164,0.4567,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
92,CUST-C0073,INST-013,Mortgage,Volatile,0.2244,990475.97,50,4,3,0.1893,0.0299,1.8979,0.1503,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
93,CUST-C0143,INST-003,Personal Loan,Volatile,0.6641,328226.65,78,3,4,0.2028,0.4294,0.3845,0.7958,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
94,CUST-C0008,INST-011,Business Loan,Improving,0.6715,863204.19,36,2,9,0.3511,0.7961,0.5129,0.1026,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
95,CUST-C0010,INST-019,Credit Card,Stable,0.6017,336177.98,65,1,3,0.3185,0.1427,0.9667,0.337,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
96,CUST-C0114,INST-001,Personal Loan,Stable,0.466,925463.47,45,4,1,0.1045,0.6987,0.5875,0.8712,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
97,CUST-C0068,INST-003,Business Loan,Stable,0.9434,66948.28,54,3,10,0.1523,0.2318,1.9092,0.9828,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
98,CUST-C0084,INST-017,Credit Card,Improving,0.479,25589.66,80,2,6,0.6322,0.2051,1.3452,0.3332,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
99,CUST-C0069,INST-008,Personal Loan,Volatile,0.3502,1630.56,8,4,1,0.4552,0.7106,1.4109,0.11,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
100,CUST-C0113,INST-019,Business Loan,Improving,0.5351,8379.65,59,1,5,0.4064,0.4331,1.2272,0.5363,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
101,CUST-C0125,INST-004,Credit Card,Improving,0.5948,39159.08,34,2,10,0.5331,0.8105,0.7891,0.8578,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
102,CUST-C0038,INST-008,Mortgage,Deteriorating,0.4313,49458.01,32,3,9,0.3442,0.0912,0.1551,0.8901,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
103,CUST-C0031,INST-007,Mortgage,Deteriorating,0.4762,19194.18,4,3,1,0.9675,0.8861,1.5838,0.871,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
104,CUST-C0214,INST-002,Credit Card,Improving,0.6746,961281.1,85,2,2,0.3476,0.8237,1.7265,0.0211,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
105,CUST-C0055,INST-005,Personal Loan,Stable,0.8422,1473754.55,80,1,3,0.3169,0.7888,0.0776,0.732,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
106,CUST-C0007,INST-003,Business Loan,Deteriorating,0.6879,79710.73,76,1,3,0.4074,0.2308,0.4843,0.033,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
107,CUST-C0241,INST-019,Business Loan,Deteriorating,0.6465,138378.06,34,1,5,0.4506,0.4599,0.029,0.645,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
108,CUST-C0040,INST-014,Credit Card,Volatile,0.3894,4003.74,20,2,2,0.5456,0.0815,1.4413,0.1821,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
109,CUST-C0190,INST-012,Mortgage,Deteriorating,0.0999,1911.65,108,4,3,0.8858,0.7847,1.2906,0.6678,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
110,CUST-C0203,INST-011,Credit Card,Deteriorating,0.6386,486262.88,60,2,5,0.5112,0.0557,1.6822,0.7309,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
111,CUST-C0101,INST-012,Credit Card,Volatile,0.6832,474434.61,30,3,5,0.9464,0.7629,1.5711,0.9178,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
112,CUST-C0106,INST-003,Business Loan,Deteriorating,0.4909,8695.98,43,5,10,0.9074,0.393,1.0466,0.7228,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
113,CUST-C0017,INST-018,Mortgage,Deteriorating,0.8343,4950139.23,30,3,4,0.6678,0.3658,1.4425,0.9277,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
114,CUST-C0007,INST-007,Personal Loan,Volatile,0.5475,1178966.87,91,2,2,0.1339,0.3121,1.194,0.0355,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
115,CUST-C0153,INST-008,Credit Card,Improving,0.4585,6227.42,50,2,3,0.2768,0.9087,1.918,0.7636,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
116,CUST-C0187,INST-004,Business Loan,Deteriorating,0.6378,1538.51,67,4,2,0.5615,0.768,1.5741,0.1034,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
117,CUST-C0036,INST-002,Credit Card,Deteriorating,0.2329,89255.89,118,1,2,0.3219,0.6435,0.2019,0.7212,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
118,CUST-C0201,INST-017,Line of Credit,Stable,0.3258,3448425.42,101,4,3,0.6517,0.6051,1.7438,0.113,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
119,CUST-C0039,INST-010,Line of Credit,Deteriorating,0.6947,1766901.03,113,5,3,0.3013,0.0154,1.9513,0.0035,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
120,CUST-C0224,INST-006,Mortgage,Improving,0.1146,92954.92,33,2,3,0.3333,0.6633,0.5304,0.0801,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
121,CUST-C0098,INST-012,Credit Card,Deteriorating,0.9085,53831.33,89,4,4,0.3344,0.7174,0.0265,0.2511,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
122,CUST-C0017,INST-001,Business Loan,Deteriorating,0.5108,4420766.59,18,1,1,0.9359,0.0027,0.5703,0.6489,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
123,CUST-C0045,INST-004,Personal Loan,Deteriorating,0.4421,1217.72,39,3,4,0.9939,0.4249,1.7456,0.0214,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
124,CUST-C0201,INST-011,Personal Loan,Improving,0.424,98709.84,21,2,4,0.0182,0.4193,0.9222,0.7021,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
