assessment_id,customer_id,institution_id,date,month,year,current_risk_score,risk_level,fraud_probability,risk_change_from_previous,is_anomaly,anomaly_type,monthly_transaction_volume,transaction_count,approval_recommendation,approval_confidence,primary_explanation_factors
42,CUST-C0242,INST-009,2022-06-01,6,2022,0.3338,Low,0.2628,-0.0031,False,None,33570.37,175,Approve,0.8458,Income stability;Payment history
43,CUST-C0242,INST-009,2022-07-01,7,2022,0.3802,Low,0.2469,0.0464,False,None,28263.81,168,Approve with Strict Conditions,0.7504,Income stability;Payment history
44,CUST-C0242,INST-009,2022-08-01,8,2022,0.3917,Low,0.1265,0.0115,False,None,49668.25,134,Approve with Conditions,0.6364,Income stability;Payment history
45,CUST-C0242,INST-009,2022-09-01,9,2022,0.4252,Moderate,0.147,0.0335,False,None,40412.18,38,Approve with Strict Conditions,0.8973,Income stability;Payment history
46,CUST-C0242,INST-009,2022-10-01,10,2022,0.4622,Moderate,0.177,0.037,True,Behavioral Deviation,27229.91,131,Deny,0.7986,Income stability;Payment history
47,CUST-C0242,INST-009,2022-11-01,11,2022,0.4318,Moderate,0.0908,-0.0304,True,Rapid Score Change,27523.9,135,Approve with Strict Conditions,0.7297,Income stability;Payment history
48,CUST-C0242,INST-009,2022-12-01,12,2022,0.4097,Moderate,0.1134,-0.0221,False,None,2672.07,34,Approve with Strict Conditions,0.9056,Income stability;Payment history
49,CUST-C0242,INST-009,2023-01-01,1,2023,0.4572,Moderate,0.2637,0.0475,False,None,26389.98,96,Deny,0.9486,Income stability;Payment history
50,CUST-C0242,INST-009,2023-02-01,2,2023,0.4952,Moderate,0.2981,0.038,False,None,37221.1,15,Deny,0.6284,Income stability;Payment history
51,CUST-C0242,INST-009,2023-03-01,3,2023,0.5358,Moderate,0.0227,0.0406,False,None,27287.39,177,Approve,0.9063,Income stability;Payment history
52,CUST-C0242,INST-009,2023-04-01,4,2023,0.4966,Moderate,0.08,-0.0392,False,None,27988.54,42,Approve,0.6863,Income stability;Payment history
53,CUST-C0242,INST-009,2023-05-01,5,2023,0.5215,Moderate,0.0618,0.0249,False,None,6701.65,8,Deny,0.6721,Income stability;Payment history
54,CUST-C0242,INST-009,2023-06-01,6,2023,0.5065,Moderate,0.2291,-0.015,False,None,21629.86,191,Approve,0.5649,Income stability;Payment history
55,CUST-C0242,INST-009,2023-07-01,7,2023,0.5372,Moderate,0.0864,0.0307,False,None,10411.01,14,Deny,0.7514,Income stability;Payment history
56,CUST-C0242,INST-009,2023-08-01,8,2023,0.5191,Moderate,0.1474,-0.0181,False,None,30498.5,80,Approve with Conditions,0.74,Income stability;Payment history
57,CUST-C0242,INST-009,2023-09-01,9,2023,0.5478,Moderate,0.1595,0.0287,False,None,49438.54,152,Deny,0.961,Income stability;Payment history
58,CUST-C0242,INST-009,2023-10-01,10,2023,0.5383,Moderate,0.034,-0.0095,False,None,43366.74,95,Approve,0.7713,Income stability;Payment history
59,CUST-C0242,INST-009,2023-11-01,11,2023,0.5384,Moderate,0.044,0.0001,False,None,39233.28,148,Approve,0.6634,Income stability;Payment history
60,CUST-C0242,INST-009,2023-12-01,12,2023,0.4959,Moderate,0.1494,-0.0425,False,None,7337.66,199,Approve with Strict Conditions,0.9494,Income stability;Payment history
61,CUST-C0242,INST-009,2024-01-01,1,2024,0.4852,Moderate,0.162,-0.0107,False,None,34030.44,37,Approve with Conditions,0.6088,Income stability;Payment history
62,CUST-C0242,INST-009,2024-02-01,2,2024,0.4389,Moderate,0.2992,-0.0463,False,None,7798.93,78,Approve with Strict Conditions,0.8025,Income stability;Payment history
63,CUST-C0242,INST-009,2024-03-01,3,2024,0.4618,Moderate,0.045,0.0229,False,None,12342.02,69,Approve,0.5662,Income stability;Payment history
64,CUST-C0242,INST-009,2024-04-01,4,2024,0.4123,Moderate,0.1692,-0.0495,False,None,6593.8,15,Approve,0.9623,Income stability;Payment history
65,CUST-C0242,INST-009,2024-05-01,5,2024,0.4265,Moderate,0.054,0.0142,False,None,40172.2,131,Approve with Strict Conditions,0.8415,Income stability;Payment history
66,CUST-C0242,INST-009,2024-06-01,6,2024,0.3927,Low,0.1939,-0.0338,False,None,17983.96,47,Approve,0.8941,Income stability;Payment history
67,CUST-C0242,INST-009,2024-07-01,7,2024,0.422,Moderate,0.2203,0.0293,False,None,43601.84,153,Approve with Strict Conditions,0.5815,Income stability;Payment history
68,CUST-C0242,INST-009,2024-08-01,8,2024,0.4057,Moderate,0.2011,-0.0163,False,None,9539.93,152,Approve with Strict Conditions,0.8334,Income stability;Payment history
69,CUST-C0242,INST-009,2024-09-01,9,2024,0.3687,Low,0.1812,-0.037,False,None,31270.73,145,Approve with Conditions,0.8168,Income stability;Payment history
70,CUST-C0242,INST-009,2024-10-01,10,2024,0.376,Low,0.1179,0.0073,False,None,5962.83,105,Approve,0.9921,Income stability;Payment history
71,CUST-C0242,INST-009,2024-11-01,11,2024,0.4255,Moderate,0.0878,0.0495,False,None,30892.07,59,Approve,0.7873,Income stability;Payment history
72,CUST-C0242,INST-009,2024-12-01,12,2024,0.3891,Low,0.0207,-0.0364,False,None,7784.92,19,Deny,0.5938,Income stability;Payment history
73,CUST-C0048,INST-004,2022-01-01,1,2022,0.4726,Moderate,0.2246,,False,None,30900.67,69,Approve,0.5185,Income stability;Payment history
74,CUST-C0048,INST-004,2022-02-01,2,2022,0.5071,Moderate,0.2002,0.0345,False,None,43992.85,107,Approve with Conditions,0.7465,Income stability;Payment history
75,CUST-C0048,INST-004,2022-03-01,3,2022,0.4941,Moderate,0.2198,-0.013,False,None,20122.11,28,Deny,0.7772,Income stability;Payment history
76,CUST-C0048,INST-004,2022-04-01,4,2022,0.5305,Moderate,0.1902,0.0364,False,None,12113.91,41,Approve with Strict Conditions,0.6388,Income stability;Payment history
77,CUST-C0048,INST-004,2022-05-01,5,2022,0.496,Moderate,0.2594,-0.0345,False,None,5643.98,191,Approve,0.9954,Income stability;Payment history
78,CUST-C0048,INST-004,2022-06-01,6,2022,0.5117,Moderate,0.051,0.0157,False,None,11651.98,54,Approve,0.9386,Income stability;Payment history
79,CUST-C0048,INST-004,2022-07-01,7,2022,0.5347,Moderate,0.207,0.023,False,None,48798.14,105,Deny,0.8733,Income stability;Payment history
80,CUST-C0048,INST-004,2022-08-01,8,2022,0.5339,Moderate,0.1164,-0.0008,False,None,28979.33,123,Approve with Conditions,0.75,Income stability;Payment history
81,CUST-C0048,INST-004,2022-09-01,9,2022,0.4937,Moderate,0.2063,-0.0402,False,None,47383.04,109,Approve with Strict Conditions,0.7625,Income stability;Payment history
82,CUST-C0048,INST-004,2022-10-01,10,2022,0.5083,Moderate,0.0866,0.0146,False,None,13861.37,52,Deny,0.5967,Income stability;Payment history
83,CUST-C0048,INST-004,2022-11-01,11,2022,0.5267,Moderate,0.1193,0.0184,False,None,19925.29,102,Approve with Conditions,0.6953,Income stability;Payment history
84,CUST-C0048,INST-004,2022-12-01,12,2022,0.533,Moderate,0.0755,0.0063,False,None,34513.76,116,Approve,0.8404,Income stability;Payment history
85,CUST-C0048,INST-004,2023-01-01,1,2023,0.5764,Moderate,0.1845,0.0434,False,None,25334.03,195,Deny,0.7261,Income stability;Payment history
86,CUST-C0048,INST-004,2023-02-01,2,2023,0.5641,Moderate,0.2418,-0.0123,False,None,37996.45,113,Approve with Strict Conditions,0.5623,Income stability;Payment history
87,CUST-C0048,INST-004,2023-03-01,3,2023,0.5345,Moderate,0.0688,-0.0296,False,None,38088.42,132,Approve with Strict Conditions,0.532,Income stability;Payment history
88,CUST-C0048,INST-004,2023-04-01,4,2023,0.4848,Moderate,0.2506,-0.0497,False,None,1728.77,102,Approve with Strict Conditions,0.7481,Income stability;Payment history
89,CUST-C0048,INST-004,2023-05-01,5,2023,0.5174,Moderate,0.2928,0.0326,False,None,9113.32,11,Deny,0.6503,Income stability;Payment history
90,CUST-C0048,INST-004,2023-06-01,6,2023,0.5518,Moderate,0.2549,0.0344,False,None,4278.61,130,Deny,0.6,Income stability;Payment history
91,CUST-C0048,INST-004,2023-07-01,7,2023,0.5692,Moderate,0.2539,0.0174,False,None,40824.26,143,Deny,0.7034,Income stability;Payment history
92,CUST-C0048,INST-004,2023-08-01,8,2023,0.5574,Moderate,0.0619,-0.0118,False,None,5318.89,168,Approve,0.7697,Income stability;Payment history
93,CUST-C0048,INST-004,2023-09-01,9,2023,0.6013,High,0.1182,0.0439,False,None,13026.12,34,Approve with Strict Conditions,0.8778,Income stability;Payment history
94,CUST-C0048,INST-004,2023-10-01,10,2023,0.6481,High,0.0764,0.0468,False,None,37122.73,139,Approve,0.7699,Income stability;Payment history
95,CUST-C0048,INST-004,2023-11-01,11,2023,0.6897,High,0.1563,0.0416,False,None,38993.96,165,Deny,0.8968,Income stability;Payment history
96,CUST-C0048,INST-004,2023-12-01,12,2023,0.6965,High,0.2215,0.0068,False,None,10902.77,159,Approve with Conditions,0.6211,Income stability;Payment history
97,CUST-C0048,INST-004,2024-01-01,1,2024,0.6746,High,0.0774,-0.0219,False,None,28183.65,71,Approve,0.5733,Income stability;Payment history
98,CUST-C0048,INST-004,2024-02-01,2,2024,0.6392,High,0.2658,-0.0354,False,None,10174.0,36,Approve with Conditions,0.8606,Income stability;Payment history
99,CUST-C0048,INST-004,2024-03-01,3,2024,0.6842,High,0.0595,0.045,False,None,24314.71,55,Approve with Strict Conditions,0.5257,Income stability;Payment history
100,CUST-C0048,INST-004,2024-04-01,4,2024,0.644,High,0.1028,-0.0402,False,None,14027.53,117,Approve with Strict Conditions,0.7536,Income stability;Payment history
101,CUST-C0048,INST-004,2024-05-01,5,2024,0.684,High,0.1175,0.04,False,None,42116.82,19,Approve with Conditions,0.5261,Income stability;Payment history
102,CUST-C0048,INST-004,2024-06-01,6,2024,0.6465,High,0.0542,-0.0375,False,None,12091.63,136,Approve,0.8341,Income stability;Payment history
103,CUST-C0048,INST-004,2024-07-01,7,2024,0.667,High,0.1161,0.0205,False,None,30436.21,181,Deny,0.9677,Income stability;Payment history
104,CUST-C0048,INST-004,2024-08-01,8,2024,0.6601,High,0.0928,-0.0069,False,None,38125.5,174,Deny,0.555,Income stability;Payment history
105,CUST-C0048,INST-004,2024-09-01,9,2024,0.6979,High,0.2415,0.0378,False,None,12401.81,24,Approve with Strict Conditions,0.5481,Income stability;Payment history
106,CUST-C0048,INST-004,2024-10-01,10,2024,0.7334,High,0.1198,0.0355,False,None,43014.82,105,Deny,0.6606,Income stability;Payment history
107,CUST-C0048,INST-004,2024-11-01,11,2024,0.7621,High,0.1811,0.0287,False,None,14563.85,192,Approve with Conditions,0.7394,Income stability;Payment history
108,CUST-C0048,INST-004,2024-12-01,12,2024,0.7761,High,0.2508,0.014,False,None,12910.73,94,Approve,0.6385,Income stability;Payment history
109,CUST-C0009,INST-019,2022-01-01,1,2022,0.4953,Moderate,0.2568,,True,Behavioral Deviation,11096.01,61,Approve with Strict Conditions,0.6298,Income stability;Payment history
110,CUST-C0009,INST-019,2022-02-01,2,2022,0.4888,Moderate,0.1539,-0.0065,False,None,6792.45,73,Approve with Conditions,0.6534,Income stability;Payment history
111,CUST-C0009,INST-019,2022-03-01,3,2022,0.5341,Moderate,0.2257,0.0453,False,None,2389.67,169,Approve with Strict Conditions,0.5127,Income stability;Payment history
112,CUST-C0009,INST-019,2022-04-01,4,2022,0.551,Moderate,0.1141,0.0169,False,None,17966.81,131,Approve with Conditions,0.7777,Income stability;Payment history
113,CUST-C0009,INST-019,2022-05-01,5,2022,0.5683,Moderate,0.0466,0.0173,False,None,3228.89,158,Deny,0.5341,Income stability;Payment history
114,CUST-C0009,INST-019,2022-06-01,6,2022,0.5306,Moderate,0.2526,-0.0377,False,None,23098.44,194,Approve,0.578,Income stability;Payment history
115,CUST-C0009,INST-019,2022-07-01,7,2022,0.5476,Moderate,0.0923,0.017,False,None,23285.02,140,Approve,0.7426,Income stability;Payment history
116,CUST-C0009,INST-019,2022-08-01,8,2022,0.5549,Moderate,0.1664,0.0073,False,None,4068.11,117,Approve with Conditions,0.5587,Income stability;Payment history
117,CUST-C0009,INST-019,2022-09-01,9,2022,0.5401,Moderate,0.1745,-0.0148,False,None,29157.75,11,Approve with Strict Conditions,0.6741,Income stability;Payment history
118,CUST-C0009,INST-019,2022-10-01,10,2022,0.5794,Moderate,0.2834,0.0393,False,None,45131.46,32,Approve with Strict Conditions,0.8891,Income stability;Payment history
119,CUST-C0009,INST-019,2022-11-01,11,2022,0.6245,High,0.2778,0.0451,False,None,17606.47,16,Deny,0.615,Income stability;Payment history
120,CUST-C0009,INST-019,2022-12-01,12,2022,0.6173,High,0.2889,-0.0072,False,None,31736.14,175,Approve with Strict Conditions,0.938,Income stability;Payment history
121,CUST-C0009,INST-019,2023-01-01,1,2023,0.6396,High,0.2206,0.0223,False,None,8794.96,90,Approve with Strict Conditions,0.6434,Income stability;Payment history
122,CUST-C0009,INST-019,2023-02-01,2,2023,0.6142,High,0.2567,-0.0254,False,None,28562.05,45,Deny,0.6175,Income stability;Payment history
123,CUST-C0009,INST-019,2023-03-01,3,2023,0.582,Moderate,0.1777,-0.0322,False,None,18430.97,94,Deny,0.6732,Income stability;Payment history
124,CUST-C0009,INST-019,2023-04-01,4,2023,0.6269,High,0.0092,0.0449,False,None,29926.19,61,Approve,0.7373,Income stability;Payment history
125,CUST-C0009,INST-019,2023-05-01,5,2023,0.6663,High,0.0659,0.0394,False,None,17531.47,105,Approve,0.7411,Income stability;Payment history
126,CUST-C0009,INST-019,2023-06-01,6,2023,0.6567,High,0.1239,-0.0096,False,None,7975.06,141,Approve with Strict Conditions,0.9941,Income stability;Payment history
127,CUST-C0009,INST-019,2023-07-01,7,2023,0.6952,High,0.0767,0.0385,False,None,40880.43,72,Approve,0.5058,Income stability;Payment history
128,CUST-C0009,INST-019,2023-08-01,8,2023,0.6658,High,0.2274,-0.0294,False,None,42606.2,22,Approve with Conditions,0.5722,Income stability;Payment history
129,CUST-C0009,INST-019,2023-09-01,9,2023,0.6963,High,0.0476,0.0305,False,None,10626.82,43,Approve with Conditions,0.9541,Income stability;Payment history
130,CUST-C0009,INST-019,2023-10-01,10,2023,0.6762,High,0.2266,-0.0201,False,None,47368.04,46,Approve,0.7895,Income stability;Payment history
131,CUST-C0009,INST-019,2023-11-01,11,2023,0.6648,High,0.0143,-0.0114,False,None,3779.34,124,Approve with Strict Conditions,0.7728,Income stability;Payment history
132,CUST-C0009,INST-019,2023-12-01,12,2023,0.6286,High,0.1794,-0.0362,False,None,1780.76,63,Approve with Strict Conditions,0.5232,Income stability;Payment history
133,CUST-C0009,INST-019,2024-01-01,1,2024,0.6676,High,0.1909,0.039,False,None,49365.68,193,Approve with Strict Conditions,0.886,Income stability;Payment history
134,CUST-C0009,INST-019,2024-02-01,2,2024,0.6818,High,0.2231,0.0142,False,None,44125.77,84,Approve with Strict Conditions,0.8482,Income stability;Payment history
135,CUST-C0009,INST-019,2024-03-01,3,2024,0.6723,High,0.1251,-0.0095,False,None,40468.41,111,Approve with Strict Conditions,0.8498,Income stability;Payment history
136,CUST-C0009,INST-019,2024-04-01,4,2024,0.6912,High,0.0491,0.0189,False,None,1770.03,97,Approve with Strict Conditions,0.5226,Income stability;Payment history
137,CUST-C0009,INST-019,2024-05-01,5,2024,0.6967,High,0.0939,0.0055,False,None,10366.45,4,Deny,0.9977,Income stability;Payment history
138,CUST-C0009,INST-019,2024-06-01,6,2024,0.6638,High,0.216,-0.0329,False,None,42679.93,146,Approve with Strict Conditions,0.8472,Income stability;Payment history
139,CUST-C0009,INST-019,2024-07-01,7,2024,0.62,High,0.2432,-0.0438,False,None,563.48,55,Deny,0.5231,Income stability;Payment history
140,CUST-C0009,INST-019,2024-08-01,8,2024,0.6589,High,0.255,0.0389,False,None,33278.29,122,Deny,0.6713,Income stability;Payment history
141,CUST-C0009,INST-019,2024-09-01,9,2024,0.683,High,0.1491,0.0241,False,None,47833.89,160,Deny,0.6433,Income stability;Payment history
142,CUST-C0009,INST-019,2024-10-01,10,2024,0.6536,High,0.1684,-0.0294,False,None,29258.33,162,Approve,0.6236,Income stability;Payment history
143,CUST-C0009,INST-019,2024-11-01,11,2024,0.6757,High,0.1656,0.0221,False,None,44988.52,37,Deny,0.8824,Income stability;Payment history
144,CUST-C0009,INST-019,2024-12-01,12,2024,0.6491,High,0.2342,-0.0266,True,Unusual Transaction Pattern,37363.35,88,Approve,0.9456,Income stability;Payment history
145,CUST-C0002,INST-020,2022-01-01,1,2022,0.2612,Low,0.0273,,False,None,31635.9,39,Approve,0.5595,Income stability;Payment history
146,CUST-C0002,INST-020,2022-02-01,2,2022,0.2687,Low,0.2476,0.0075,False,None,11571.02,22,Approve with Strict Conditions,0.7894,Income stability;Payment history
147,CUST-C0002,INST-020,2022-03-01,3,2022,0.299,Low,0.1318,0.0303,False,None,35404.51,119,Approve,0.5342,Income stability;Payment history
148,CUST-C0002,INST-020,2022-04-01,4,2022,0.3115,Low,0.2745,0.0125,False,None,37003.03,1,Deny,0.566,Income stability;Payment history
149,CUST-C0002,INST-020,2022-05-01,5,2022,0.3551,Low,0.0091,0.0436,False,None,42381.83,143,Approve with Strict Conditions,0.9688,Income stability;Payment history
150,CUST-C0002,INST-020,2022-06-01,6,2022,0.3148,Low,0.2713,-0.0403,False,None,20656.15,187,Approve with Strict Conditions,0.6396,Income stability;Payment history
151,CUST-C0002,INST-020,2022-07-01,7,2022,0.3593,Low,0.1616,0.0445,False,None,6442.64,143,Deny,0.6485,Income stability;Payment history
152,CUST-C0002,INST-020,2022-08-01,8,2022,0.3339,Low,0.2658,-0.0254,False,None,18891.19,48,Approve with Conditions,0.8584,Income stability;Payment history
153,CUST-C0002,INST-020,2022-09-01,9,2022,0.3636,Low,0.0341,0.0297,False,None,42278.75,188,Approve,0.9995,Income stability;Payment history
154,CUST-C0002,INST-020,2022-10-01,10,2022,0.3507,Low,0.0058,-0.0129,False,None,38149.01,171,Approve,0.9694,Income stability;Payment history
155,CUST-C0002,INST-020,2022-11-01,11,2022,0.3267,Low,0.0743,-0.024,False,None,42847.22,51,Approve with Conditions,0.6807,Income stability;Payment history
156,CUST-C0002,INST-020,2022-12-01,12,2022,0.331,Low,0.0438,0.0043,False,None,906.37,83,Approve with Conditions,0.5747,Income stability;Payment history
157,CUST-C0002,INST-020,2023-01-01,1,2023,0.2826,Low,0.0977,-0.0484,True,Rapid Score Change,44733.48,194,Approve with Conditions,0.5415,Income stability;Payment history
158,CUST-C0002,INST-020,2023-02-01,2,2023,0.3156,Low,0.2749,0.033,False,None,13559.47,176,Approve with Strict Conditions,0.636,Income stability;Payment history
159,CUST-C0002,INST-020,2023-03-01,3,2023,0.3237,Low,0.111,0.0081,False,None,38263.0,165,Approve with Strict Conditions,0.5662,Income stability;Payment history
160,CUST-C0002,INST-020,2023-04-01,4,2023,0.3009,Low,0.0025,-0.0228,False,None,2180.8,151,Deny,0.5996,Income stability;Payment history
161,CUST-C0002,INST-020,2023-05-01,5,2023,0.2521,Low,0.2726,-0.0488,False,None,8383.81,160,Approve with Strict Conditions,0.668,Income stability;Payment history
162,CUST-C0002,INST-020,2023-06-01,6,2023,0.2635,Low,0.1333,0.0114,False,None,35294.4,90,Approve with Conditions,0.7801,Income stability;Payment history
163,CUST-C0002,INST-020,2023-07-01,7,2023,0.2828,Low,0.1564,0.0193,False,None,39268.73,75,Approve with Conditions,0.8102,Income stability;Payment history
164,CUST-C0002,INST-020,2023-08-01,8,2023,0.2723,Low,0.2743,-0.0105,True,Unusual Transaction Pattern,19510.39,163,Approve,0.7058,Income stability;Payment history
165,CUST-C0002,INST-020,2023-09-01,9,2023,0.2481,Low,0.1493,-0.0242,False,None,9950.21,10,Approve with Conditions,0.5838,Income stability;Payment history
166,CUST-C0002,INST-020,2023-10-01,10,2023,0.2968,Low,0.1944,0.0487,False,None,43539.35,36,Deny,0.7168,Income stability;Payment history
167,CUST-C0002,INST-020,2023-11-01,11,2023,0.2485,Low,0.1605,-0.0483,False,None,34227.35,130,Approve,0.8933,Income stability;Payment history
168,CUST-C0002,INST-020,2023-12-01,12,2023,0.2441,Low,0.112,-0.0044,False,None,35324.2,66,Deny,0.9261,Income stability;Payment history
169,CUST-C0002,INST-020,2024-01-01,1,2024,0.2019,Low,0.1562,-0.0422,False,None,9051.57,128,Approve with Conditions,0.6224,Income stability;Payment history
170,CUST-C0002,INST-020,2024-02-01,2,2024,0.1968,Very Low,0.2862,-0.0051,False,None,523.38,63,Approve with Conditions,0.9108,Income stability;Payment history
171,CUST-C0002,INST-020,2024-03-01,3,2024,0.1891,Very Low,0.2735,-0.0077,False,None,45789.16,108,Approve,0.8409,Income stability;Payment history
172,CUST-C0002,INST-020,2024-04-01,4,2024,0.1941,Very Low,0.2378,0.005,False,None,13463.91,72,Approve with Conditions,0.6982,Income stability;Payment history
173,CUST-C0002,INST-020,2024-05-01,5,2024,0.2258,Low,0.2637,0.0317,False,None,18879.18,70,Approve,0.7715,Income stability;Payment history
174,CUST-C0002,INST-020,2024-06-01,6,2024,0.2187,Low,0.0859,-0.0071,False,None,9949.93,118,Approve with Strict Conditions,0.6568,Income stability;Payment history
