customer_id,customer_name,segment,income_bracket,credit_score_range,education_level,employment_sector,annual_income,credit_score,debt_to_income_ratio,years_of_credit_history,num_credit_accounts,num_delinquencies_last_2_years,num_recent_inquiries,is_homeowner,has_previous_bankruptcy
CUST-C0106,Stable Prime Customer,High Net Worth,High,Fair (580-669),Master's,Retail,109984.03,621,0.8101,19,3,3,3,True,False
CUST-C0107,Stable Prime Customer,Retail,Low,Good (670-739),Bachelor's,Manufacturing,97487.68,731,0.7391,10,3,1,2,True,False
CUST-C0108,Stable Prime Customer,High Net Worth,Low,Excellent (800-850),Master's,Manufacturing,112174.36,820,0.9941,11,9,2,4,False,False
CUST-C0109,Stable Prime Customer,High Net Worth,High,Poor (300-579),Trade School,Government,41045.36,385,0.4905,20,7,1,8,True,True
CUST-C0110,Stable Prime Customer,Institutional,Ultra-High,Fair (580-669),High School,Construction,225849.69,583,0.6459,40,5,5,2,False,False
CUST-C0111,Stable Prime Customer,High Net Worth,Middle,Fair (580-669),Trade School,Construction,178283.48,668,0.0562,18,1,0,4,False,False
CUST-C0112,Stable Prime Customer,Institutional,Low,Poor (300-579),Doctorate,Construction,210354.57,441,0.266,16,14,3,5,True,True
CUST-C0113,Stable Prime Customer,Corporate,Low,Fair (580-669),Bachelor's,Healthcare,85783.35,669,0.241,11,13,0,4,True,True
CUST-C0114,Stable Prime Customer,Institutional,High,Fair (580-669),Trade School,Retail,229072.35,612,0.8181,14,11,4,7,True,False
CUST-C0115,Stable Prime Customer,High Net Worth,Middle,Poor (300-579),Master's,Technology,171411.85,409,0.8219,29,13,0,3,False,False
CUST-C0116,Stable Prime Customer,Corporate,High,Good (670-739),Master's,Finance,160880.52,686,0.5004,27,10,1,0,False,False
CUST-C0117,Stable Prime Customer,Small Business,Middle,Fair (580-669),Trade School,Construction,341762.06,644,0.118,11,11,2,2,True,False
CUST-C0118,Stable Prime Customer,Small Business,High,Good (670-739),Doctorate,Finance,148720.64,707,0.2727,5,18,2,0,False,False
CUST-C0119,Stable Prime Customer,Institutional,Middle,Poor (300-579),Trade School,Construction,159047.12,520,0.1913,4,16,0,6,False,False
CUST-C0120,Stable Prime Customer,Corporate,Middle,Poor (300-579),Doctorate,Construction,39004.12,491,0.2788,19,8,4,8,True,False
CUST-C0121,Stable Prime Customer,Retail,Ultra-High,Good (670-739),Master's,Healthcare,261187.21,693,0.4701,31,5,0,3,True,False
CUST-C0122,Stable Prime Customer,Retail,High,Poor (300-579),Bachelor's,Technology,70330.89,502,0.5874,8,13,4,3,True,False
CUST-C0123,Stable Prime Customer,Retail,Middle,Poor (300-579),Bachelor's,Construction,266963.32,464,0.577,17,9,2,5,False,True
CUST-C0124,Stable Prime Customer,Corporate,Low,Poor (300-579),Doctorate,Government,45582.62,371,0.7344,18,16,0,6,False,True
CUST-C0125,Stable Prime Customer,Corporate,Low,Poor (300-579),Doctorate,Education,309888.89,471,0.464,25,18,5,2,True,True
CUST-C0126,Stable Prime Customer,Institutional,High,Good (670-739),Bachelor's,Retail,149213.25,715,0.7179,23,8,4,2,True,False
CUST-C0127,Stable Prime Customer,Small Business,Middle,Fair (580-669),High School,Manufacturing,75021.37,653,0.6677,36,14,5,4,True,False
CUST-C0128,Stable Prime Customer,Small Business,High,Good (670-739),High School,Technology,60286.75,699,0.1007,22,5,1,2,True,True
CUST-C0129,Stable Prime Customer,Retail,Ultra-High,Poor (300-579),High School,Retail,210433.79,561,0.672,24,18,5,8,True,False
CUST-C0130,Stable Prime Customer,Retail,Middle,Very Good (740-799),Trade School,Education,102044.13,759,0.2935,22,3,5,4,False,False
CUST-C0131,Stable Prime Customer,Corporate,Middle,Good (670-739),Master's,Finance,297484.07,712,0.623,39,17,3,3,True,True
CUST-C0132,Stable Prime Customer,Institutional,Low,Very Good (740-799),Master's,Education,170772.83,772,0.2946,40,7,5,7,True,True
CUST-C0133,Stable Prime Customer,Corporate,Low,Poor (300-579),Master's,Education,99576.69,432,0.6474,36,6,0,4,False,True
CUST-C0134,Stable Prime Customer,High Net Worth,High,Poor (300-579),Doctorate,Technology,253656.31,406,0.3717,7,14,1,6,True,True
CUST-C0135,Stable Prime Customer,Institutional,Low,Excellent (800-850),High School,Manufacturing,299706.72,814,0.4949,31,17,4,6,True,True
CUST-C0136,Stable Prime Customer,Retail,Ultra-High,Poor (300-579),Doctorate,Technology,233473.92,576,0.1721,32,5,4,0,False,True
CUST-C0137,Stable Prime Customer,Institutional,High,Poor (300-579),Trade School,Finance,75711.68,303,0.2345,37,17,5,7,False,True
CUST-C0138,Stable Prime Customer,High Net Worth,Middle,Good (670-739),Trade School,Finance,349276.52,727,0.2295,22,11,2,3,False,True
CUST-C0139,Stable Prime Customer,High Net Worth,High,Good (670-739),Master's,Education,210442.88,692,0.6451,34,5,1,1,True,True
CUST-C0140,Stable Prime Customer,Small Business,Low,Fair (580-669),Doctorate,Healthcare,292338.46,614,0.1455,31,2,4,6,False,False
CUST-C0141,Stable Prime Customer,Retail,Ultra-High,Poor (300-579),Bachelor's,Government,301755.85,334,0.1615,19,10,1,2,False,True
CUST-C0142,Stable Prime Customer,Institutional,Ultra-High,Poor (300-579),Master's,Retail,295051.66,351,0.9793,35,5,4,2,True,False
CUST-C0143,Stable Prime Customer,Small Business,Low,Poor (300-579),Doctorate,Government,273239.04,375,0.3703,23,14,3,3,True,False
CUST-C0144,Stable Prime Customer,Retail,Middle,Poor (300-579),Bachelor's,Technology,89477.84,449,0.4079,38,4,5,4,False,False
CUST-C0145,Stable Prime Customer,Institutional,Middle,Poor (300-579),Trade School,Finance,70846.13,331,0.0081,10,10,5,4,False,True
CUST-C0146,Stable Prime Customer,Corporate,Ultra-High,Poor (300-579),High School,Government,112676.89,546,0.2613,6,18,0,2,False,True
CUST-C0147,Stable Prime Customer,Retail,High,Poor (300-579),High School,Finance,151696.94,432,0.3637,27,5,0,8,True,False
CUST-C0148,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Trade School,Technology,286981.83,565,0.8158,3,9,1,8,False,True
CUST-C0149,Stable Prime Customer,Retail,Low,Poor (300-579),Doctorate,Finance,189300.06,437,0.6084,11,11,4,6,True,False
CUST-C0150,Stable Prime Customer,Institutional,Middle,Poor (300-579),Bachelor's,Education,270582.52,450,0.6012,2,20,3,6,False,True
CUST-C0151,Stable Prime Customer,Institutional,Low,Poor (300-579),High School,Government,185017.0,416,0.7165,10,18,4,8,True,False
CUST-C0152,Stable Prime Customer,Small Business,High,Very Good (740-799),Doctorate,Government,86570.85,778,0.8626,22,12,4,6,True,False
CUST-C0153,Stable Prime Customer,Small Business,High,Good (670-739),High School,Construction,37482.72,723,0.9804,3,4,5,6,False,True
CUST-C0154,Stable Prime Customer,Institutional,Middle,Fair (580-669),Trade School,Government,40362.63,636,0.5538,8,12,3,8,True,False
CUST-C0155,Stable Prime Customer,Corporate,Low,Poor (300-579),Doctorate,Government,286271.26,389,0.5716,33,17,5,6,True,True
CUST-C0156,Stable Prime Customer,Retail,High,Poor (300-579),High School,Finance,220997.14,420,0.1411,40,14,4,1,False,True
CUST-C0157,Stable Prime Customer,Retail,Low,Poor (300-579),Doctorate,Construction,161908.9,483,0.2306,12,8,1,5,True,False
CUST-C0158,Stable Prime Customer,Retail,Ultra-High,Fair (580-669),Master's,Manufacturing,92420.16,618,0.6416,37,7,0,0,False,False
CUST-C0159,Stable Prime Customer,High Net Worth,Ultra-High,Poor (300-579),Trade School,Technology,98825.99,565,0.7587,26,6,5,8,False,True
CUST-C0160,Stable Prime Customer,Small Business,Middle,Poor (300-579),Doctorate,Manufacturing,132701.43,564,0.9669,11,14,4,7,True,False
CUST-C0161,Stable Prime Customer,Institutional,High,Good (670-739),High School,Healthcare,173450.67,707,0.69,6,1,1,6,False,False
CUST-C0162,Stable Prime Customer,Institutional,Low,Fair (580-669),Bachelor's,Construction,175501.33,597,0.1932,35,6,2,6,True,True
CUST-C0163,Stable Prime Customer,Corporate,Ultra-High,Poor (300-579),Trade School,Healthcare,211699.74,579,0.58,8,13,5,5,True,True
CUST-C0164,Stable Prime Customer,Small Business,Low,Fair (580-669),High School,Technology,70862.22,590,0.8453,24,10,2,2,True,True
CUST-C0165,Stable Prime Customer,Retail,Middle,Poor (300-579),Master's,Finance,103793.63,365,0.9514,15,17,1,7,False,True
CUST-C0166,Stable Prime Customer,Corporate,Ultra-High,Poor (300-579),Doctorate,Healthcare,70437.43,378,0.7176,16,5,2,6,True,True
CUST-C0167,Stable Prime Customer,High Net Worth,Ultra-High,Excellent (800-850),High School,Technology,204297.59,824,0.9934,9,1,2,6,True,True
CUST-C0168,Stable Prime Customer,Institutional,Middle,Good (670-739),Doctorate,Manufacturing,303588.92,721,0.1888,13,10,0,1,True,True
CUST-C0169,Stable Prime Customer,Small Business,Ultra-High,Poor (300-579),Doctorate,Retail,63216.27,438,0.8167,6,11,2,8,False,True
CUST-C0170,Stable Prime Customer,Small Business,High,Very Good (740-799),Bachelor's,Retail,330411.13,782,0.7782,39,2,4,6,True,False
CUST-C0171,Stable Prime Customer,Institutional,Low,Poor (300-579),Trade School,Construction,349718.07,476,0.9835,1,1,1,6,True,True
CUST-C0172,Stable Prime Customer,Corporate,Middle,Poor (300-579),High School,Finance,297187.28,516,0.4574,20,1,3,2,True,True
CUST-C0173,Stable Prime Customer,Retail,High,Poor (300-579),Bachelor's,Government,266826.23,345,0.362,16,12,1,4,False,False
CUST-C0174,Stable Prime Customer,High Net Worth,Ultra-High,Fair (580-669),Master's,Government,42073.4,652,0.3963,40,2,4,2,False,True
CUST-C0175,Stable Prime Customer,Small Business,High,Poor (300-579),Doctorate,Healthcare,122527.0,320,0.176,11,7,5,5,False,False
CUST-C0176,Stable Prime Customer,Institutional,Low,Poor (300-579),Doctorate,Technology,272632.33,560,0.8276,7,20,1,8,False,True
CUST-C0177,Stable Prime Customer,Small Business,High,Excellent (800-850),High School,Education,306475.2,811,0.611,21,7,1,1,True,False
CUST-C0178,Stable Prime Customer,Small Business,Low,Fair (580-669),Doctorate,Manufacturing,270846.65,667,0.7103,8,11,0,8,False,False
CUST-C0179,Stable Prime Customer,Corporate,High,Poor (300-579),Master's,Government,344026.17,513,0.4115,4,9,5,1,False,False
CUST-C0180,Stable Prime Customer,Institutional,Low,Poor (300-579),Master's,Technology,202150.66,489,0.9166,30,2,3,6,False,True
CUST-C0181,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Doctorate,Finance,140720.95,311,0.8721,1,9,5,7,False,True
CUST-C0182,Stable Prime Customer,Small Business,Low,Good (670-739),Trade School,Education,77706.99,738,0.263,23,20,3,3,False,True
CUST-C0183,Stable Prime Customer,High Net Worth,Ultra-High,Poor (300-579),Doctorate,Construction,73522.85,309,0.3426,6,20,1,1,True,True
CUST-C0184,Stable Prime Customer,Retail,Low,Poor (300-579),High School,Government,23167.2,368,0.0617,21,4,2,6,False,True
CUST-C0185,Stable Prime Customer,Institutional,Low,Excellent (800-850),Trade School,Government,128992.84,850,0.3355,13,3,3,8,True,False
CUST-C0186,Stable Prime Customer,Corporate,High,Fair (580-669),Bachelor's,Manufacturing,110755.9,617,0.0692,37,18,3,0,False,False
CUST-C0187,Stable Prime Customer,Retail,High,Fair (580-669),Doctorate,Retail,50040.41,627,0.595,7,11,0,4,True,False
CUST-C0188,Stable Prime Customer,Retail,Ultra-High,Fair (580-669),Master's,Technology,66580.65,665,0.2591,34,5,4,4,True,False
CUST-C0189,Stable Prime Customer,Corporate,Low,Good (670-739),Bachelor's,Education,114704.07,728,0.4929,13,13,3,5,True,True
CUST-C0190,Stable Prime Customer,Retail,Ultra-High,Very Good (740-799),Bachelor's,Healthcare,294179.49,771,0.5974,30,19,4,3,False,True
CUST-C0191,Stable Prime Customer,High Net Worth,Low,Fair (580-669),High School,Education,208293.79,627,0.6701,21,7,1,2,True,True
CUST-C0192,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Doctorate,Technology,329056.27,513,0.1451,23,2,1,5,True,False
CUST-C0193,Stable Prime Customer,Institutional,Ultra-High,Fair (580-669),Doctorate,Construction,263595.75,668,0.5005,35,20,4,5,True,False
CUST-C0194,Stable Prime Customer,Corporate,High,Poor (300-579),Doctorate,Retail,113563.66,435,0.7325,36,7,4,2,True,True
CUST-C0195,Stable Prime Customer,Institutional,Low,Excellent (800-850),Doctorate,Government,90339.19,806,0.8587,3,7,2,3,True,False
CUST-C0196,Stable Prime Customer,Retail,High,Fair (580-669),Bachelor's,Government,309407.77,663,0.158,9,6,0,3,False,True
CUST-C0197,Stable Prime Customer,Corporate,Low,Poor (300-579),High School,Finance,344911.73,478,0.2773,19,10,3,6,True,False
CUST-C0198,Stable Prime Customer,Corporate,Low,Poor (300-579),Trade School,Government,27653.79,544,0.1387,9,11,0,5,True,False
CUST-C0199,Stable Prime Customer,High Net Worth,Middle,Fair (580-669),High School,Government,275574.62,651,0.7125,22,3,0,4,True,True
CUST-C0200,Stable Prime Customer,High Net Worth,Low,Excellent (800-850),Trade School,Technology,63615.79,826,0.3773,27,14,5,4,False,False
CUST-C0201,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Trade School,Retail,233101.15,330,0.6978,22,3,1,6,False,True
