performance_id,customer_id,institution_id,product_type,avg_risk_score,risk_score_volatility,risk_trend,risk_trend_percentage,avg_fraud_probability,anomaly_percentage,risk_assessment_accuracy,approval_percentage,most_common_recommendation,avg_monthly_transaction_volume,total_transaction_volume,transaction_volatility,total_exposure,risk_adjusted_return,customer_value_score,customer_value_category,optimization_opportunity,optimization_priority
22,CUST-C0146,INST-006,Line of Credit,0.2863,0.1803,Worsening,4.7585,0.1011,13.8349,65.6054,59.2418,Deny,20272.03,194083.02,0.7459,93461.45,0.1118,27,Gold,Cross-sell,Low
23,CUST-C0246,INST-013,Personal Loan,0.8879,0.0633,Stable,-7.5961,0.1258,0.1597,72.9899,73.8567,Approve with Conditions,20157.11,133262.07,0.2218,19684.14,-0.0037,122,Platinum,Cross-sell,Medium
24,CUST-C0088,INST-001,Credit Card,0.5756,0.169,Stable,-7.0788,0.1594,2.6766,78.7424,70.1508,Approve,15465.38,156128.48,0.1268,95210.57,0.0596,37,Gold,Upsell,Low
25,CUST-C0001,INST-017,Personal Loan,0.5764,0.0416,Stable,-1.8098,0.1863,10.1424,93.0739,49.8615,Deny,32611.84,101049.86,0.201,2132678.89,0.1349,46,Gold,Upsell,Medium
26,CUST-C0101,INST-009,Business Loan,0.4495,0.2146,Improving,3.4805,0.1023,7.9761,63.5355,73.2495,Deny,23960.64,63166.69,0.1578,290672.44,-0.0093,121,Platinum,Cross-sell,Medium
27,CUST-C0056,INST-020,Line of Credit,0.9148,0.1774,Improving,-7.0604,0.1296,5.5712,74.1965,55.8045,Deny,33600.97,230770.68,0.3615,575542.07,0.1548,43,Silver,Upsell,High
28,CUST-C0137,INST-003,Credit Card,0.8025,0.2213,Improving,5.0512,0.1802,8.3792,90.7117,83.9595,Deny,19973.19,478564.92,0.6326,2851181.66,0.1123,154,Gold,Retention,Medium
29,CUST-C0069,INST-014,Line of Credit,0.0541,0.258,Worsening,0.5832,0.0736,5.4831,76.8596,79.251,Approve,48858.71,25998.3,0.5287,649468.91,0.0434,29,Gold,Cross-sell,Medium
30,CUST-C0153,INST-008,Personal Loan,0.406,0.2313,Improving,5.0313,0.0978,1.3404,60.8936,68.788,Approve,29251.53,195429.22,0.3727,639574.15,0.2026,77,Gold,None,Low
31,CUST-C0198,INST-011,Line of Credit,0.4988,0.1236,Improving,-5.3805,0.0478,12.4726,63.9822,79.4793,Deny,5886.15,272345.41,0.3699,5270.41,0.1536,69,Silver,Cross-sell,Medium
32,CUST-C0132,INST-003,Business Loan,0.9129,0.05,Worsening,-5.2943,0.0482,2.9053,67.4586,93.2784,Deny,30681.05,374705.89,0.7431,4541951.63,0.2758,158,Platinum,None,High
33,CUST-C0015,INST-012,Business Loan,0.7715,0.1254,Worsening,-3.1601,0.0388,9.4013,89.512,97.6485,Approve with Conditions,18842.16,476216.77,0.0891,924012.03,0.1322,154,Bronze,Upsell,High
34,CUST-C0121,INST-012,Personal Loan,0.216,0.0791,Worsening,5.0361,0.0032,5.3193,64.864,82.4308,Deny,45884.26,393756.7,0.3496,857757.68,0.2482,108,Silver,None,High
35,CUST-C0242,INST-003,Mortgage,0.5084,0.2015,Improving,-2.685,0.0213,5.6125,76.1372,92.1704,Approve,38405.86,308969.17,0.7604,2626885.81,0.0764,34,Platinum,None,Medium
36,CUST-C0035,INST-014,Personal Loan,0.8835,0.021,Improving,-4.1058,0.1639,12.4323,60.6765,53.6615,Approve with Conditions,4396.87,101532.65,0.4329,5540.37,0.2641,62,Bronze,None,High
37,CUST-C0017,INST-013,Business Loan,0.7804,0.1486,Improving,-0.0189,0.0462,0.6823,72.9245,58.6617,Deny,30664.36,453460.22,0.9434,842850.94,0.0641,99,Bronze,None,Low
38,CUST-C0047,INST-011,Credit Card,0.403,0.0498,Worsening,-8.0561,0.024,1.5677,98.2694,85.0446,Approve with Conditions,36295.69,358112.53,0.4578,2415160.59,-0.0339,96,Silver,Upsell,Low
39,CUST-C0169,INST-005,Credit Card,0.9437,0.2806,Stable,8.398,0.0808,13.1217,83.5112,62.704,Approve,21532.7,111626.2,0.1838,1637.87,-0.0806,121,Bronze,Cross-sell,Medium
40,CUST-C0059,INST-008,Personal Loan,0.4297,0.1692,Improving,-9.8477,0.0856,1.4796,65.9978,90.0734,Approve with Conditions,22941.27,257353.49,0.9826,1568493.63,-0.0203,41,Bronze,Cross-sell,High
41,CUST-C0009,INST-014,Credit Card,0.7446,0.1037,Worsening,1.2838,0.1911,3.6422,79.1107,85.4908,Approve,15474.37,99528.43,0.654,108002.7,-0.0523,54,Bronze,Upsell,Low
42,CUST-C0064,INST-003,Business Loan,0.6125,0.2747,Improving,2.9986,0.0337,11.5341,81.1587,70.489,Deny,42898.26,153109.91,0.6976,41916.79,0.1376,126,Bronze,Retention,Medium
43,CUST-C0013,INST-006,Credit Card,0.3693,0.0425,Stable,0.0926,0.1427,9.7096,89.1983,85.3041,Approve with Conditions,46144.52,464760.53,0.0451,2468390.89,0.077,31,Bronze,None,High
44,CUST-C0223,INST-009,Mortgage,0.6994,0.1742,Worsening,7.1977,0.0971,12.7768,77.0505,88.0582,Deny,2316.42,414842.06,0.3337,1773555.23,0.1219,109,Bronze,Upsell,High
45,CUST-C0040,INST-005,Line of Credit,0.6253,0.0362,Worsening,9.9974,0.1326,12.325,74.7409,59.8143,Deny,26679.82,460156.82,0.904,621266.93,0.2235,51,Bronze,Upsell,Medium
46,CUST-C0223,INST-009,Personal Loan,0.9352,0.1715,Improving,7.3341,0.0412,8.8238,92.281,42.8273,Approve with Conditions,4417.88,84207.56,0.2744,55656.46,0.2315,29,Silver,Upsell,Low
47,CUST-C0037,INST-004,Business Loan,0.3937,0.2919,Stable,-1.3128,0.1866,11.4322,84.5706,88.4422,Approve with Conditions,47045.73,98292.14,0.9709,20920.77,-0.0218,40,Bronze,Upsell,Low
48,CUST-C0130,INST-001,Credit Card,0.9532,0.1925,Stable,-0.3156,0.0277,13.8072,64.3404,83.6614,Deny,29828.66,127306.4,0.3689,8693.31,0.001,48,Gold,Retention,Low
49,CUST-C0192,INST-020,Credit Card,0.3764,0.2556,Worsening,4.113,0.1992,6.8954,67.9493,55.9087,Deny,39364.53,61466.63,0.7004,694629.46,0.2604,50,Gold,Upsell,Low
50,CUST-C0035,INST-004,Mortgage,0.8971,0.0913,Worsening,7.6993,0.0411,10.0595,93.8949,76.8693,Approve with Conditions,28993.36,304708.65,0.7498,266355.49,0.0244,130,Gold,Upsell,High
51,CUST-C0224,INST-001,Mortgage,0.7018,0.2283,Improving,9.542,0.1239,6.0267,84.2565,71.8456,Approve,41659.38,28912.07,0.1313,7913.17,0.0952,134,Gold,None,High
52,CUST-C0100,INST-004,Personal Loan,0.5295,0.1217,Stable,5.1008,0.1876,1.2444,86.0788,76.6889,Approve,7852.01,333748.31,0.5444,165284.42,0.1062,37,Bronze,Upsell,Low
53,CUST-C0226,INST-016,Line of Credit,0.9534,0.185,Improving,-1.2805,0.1564,1.1856,94.6236,45.178,Approve with Conditions,31715.23,213197.08,0.4752,17621.53,-0.0227,86,Gold,Retention,Medium
54,CUST-C0161,INST-016,Mortgage,0.3783,0.1469,Worsening,-5.3491,0.1251,7.3431,71.2295,68.5053,Approve,43801.58,470210.29,0.4722,991057.01,0.0839,158,Silver,Upsell,High
55,CUST-C0180,INST-001,Personal Loan,0.8451,0.2312,Improving,-0.6733,0.1762,7.2875,67.1784,58.7614,Approve,28125.15,13121.96,0.7918,10852.75,0.0619,157,Gold,Upsell,Medium
56,CUST-C0173,INST-005,Business Loan,0.8624,0.0424,Stable,6.8382,0.1635,5.6224,76.5688,54.6507,Approve,21333.52,321953.28,0.8823,3085056.82,0.2762,159,Silver,Upsell,Low
57,CUST-C0067,INST-015,Personal Loan,0.3954,0.1312,Stable,-7.0436,0.0232,2.3813,92.6758,83.1776,Deny,23817.06,320290.84,0.5163,1753272.04,0.2176,125,Bronze,Cross-sell,High
58,CUST-C0028,INST-017,Line of Credit,0.3483,0.0105,Improving,8.9905,0.0446,11.587,98.5529,66.8545,Approve with Conditions,45207.48,492514.86,0.9773,30423.96,0.1286,157,Bronze,Retention,Medium
59,CUST-C0137,INST-005,Line of Credit,0.4021,0.1093,Improving,-4.0982,0.0019,1.0675,95.0116,45.8859,Deny,23507.11,250464.14,0.3278,5495.54,0.0852,94,Silver,Retention,Medium
60,CUST-C0075,INST-019,Credit Card,0.5994,0.2388,Improving,1.2355,0.089,7.7335,67.6234,65.1849,Approve with Conditions,45937.4,125482.99,0.1701,79818.17,0.1286,49,Platinum,None,High
61,CUST-C0195,INST-020,Line of Credit,0.8854,0.2853,Worsening,-7.9123,0.1924,6.7488,70.6402,61.1218,Approve with Conditions,41616.69,67681.93,0.7488,354932.34,0.1422,157,Silver,Cross-sell,Medium
62,CUST-C0155,INST-002,Credit Card,0.6636,0.1608,Improving,-9.1187,0.1599,7.632,62.4704,59.4888,Approve,31152.03,105087.32,0.229,8106.44,-0.0401,42,Platinum,Cross-sell,High
63,CUST-C0173,INST-019,Business Loan,0.1548,0.1951,Worsening,-0.5383,0.0001,4.9642,73.872,77.3088,Approve with Conditions,20236.76,49330.93,0.3731,52112.32,-0.0063,47,Bronze,Cross-sell,Low
64,CUST-C0037,INST-013,Mortgage,0.8926,0.1651,Worsening,9.66,0.0465,5.0738,81.7653,89.7562,Approve with Conditions,47065.64,128145.35,0.9367,905444.27,0.0497,129,Gold,Upsell,Medium
65,CUST-C0228,INST-015,Line of Credit,0.7825,0.051,Stable,6.3736,0.0685,11.259,86.2483,71.7356,Approve with Conditions,18001.44,316474.98,0.5935,80115.9,-0.063,24,Silver,Upsell,Low
66,CUST-C0223,INST-011,Line of Credit,0.0864,0.0488,Improving,-8.864,0.1449,5.9985,75.5235,97.0523,Deny,48968.22,101054.53,0.6761,813284.1,0.2776,77,Bronze,Retention,Medium
67,CUST-C0118,INST-018,Mortgage,0.398,0.1776,Worsening,3.0407,0.133,11.382,76.0477,81.3524,Approve,25843.24,207821.49,0.303,902296.87,0.2004,152,Bronze,Cross-sell,Medium
68,CUST-C0043,INST-007,Line of Credit,0.6464,0.0653,Worsening,-7.716,0.1407,7.5285,63.0881,89.959,Approve with Conditions,14090.16,284060.46,0.3656,46713.55,0.0526,86,Bronze,Upsell,High
69,CUST-C0028,INST-014,Credit Card,0.2726,0.1227,Improving,-6.9631,0.1337,4.5172,65.6345,98.5545,Approve with Conditions,34501.57,358207.56,0.9845,13397.15,0.1101,103,Bronze,Upsell,Medium
70,CUST-C0029,INST-002,Line of Credit,0.461,0.2939,Stable,-4.6565,0.1426,7.235,96.1004,94.1475,Approve,11914.52,281613.27,0.599,844451.38,0.1017,20,Silver,Retention,Low
71,CUST-C0238,INST-019,Mortgage,0.5648,0.1703,Worsening,6.5908,0.1593,10.6419,71.6151,69.689,Deny,38458.18,315764.93,0.4276,82922.8,-0.0544,80,Gold,Cross-sell,Medium
72,CUST-C0037,INST-012,Line of Credit,0.6248,0.077,Improving,-2.9738,0.0804,0.1082,63.565,49.0686,Approve,30537.82,121565.45,0.1943,3353604.85,0.24,31,Gold,None,Low
73,CUST-C0209,INST-011,Line of Credit,0.6309,0.2943,Worsening,-7.7262,0.0113,12.7895,87.0408,73.7025,Approve with Conditions,41833.26,322303.27,0.386,3145771.46,0.0845,160,Platinum,Upsell,High
74,CUST-C0097,INST-020,Line of Credit,0.3955,0.0234,Worsening,9.2356,0.1536,2.211,89.9908,67.7105,Approve with Conditions,34047.51,99038.76,0.2205,3032338.95,-0.0459,25,Silver,Retention,Medium
75,CUST-C0181,INST-014,Personal Loan,0.0686,0.2261,Improving,-8.963,0.0818,12.3244,70.9185,65.0163,Approve,12454.33,365368.25,0.8122,4779.43,0.046,55,Gold,Cross-sell,Medium
76,CUST-C0248,INST-012,Line of Credit,0.9546,0.2309,Worsening,0.5881,0.1708,11.0523,65.5713,96.2527,Approve,8111.27,419369.6,0.6821,4625004.09,0.042,76,Gold,Upsell,Low
77,CUST-C0060,INST-016,Mortgage,0.5616,0.0927,Improving,-3.9447,0.0893,2.7033,96.9932,56.1829,Approve with Conditions,25536.96,419910.78,0.2047,498658.36,0.0658,72,Silver,Retention,High
78,CUST-C0176,INST-002,Personal Loan,0.305,0.0372,Stable,2.6382,0.0677,11.4592,98.9683,96.0686,Approve,23220.55,293251.89,0.4008,93339.86,0.1454,146,Silver,Retention,Medium
79,CUST-C0212,INST-012,Mortgage,0.7094,0.1939,Improving,4.2089,0.0254,7.5167,72.197,69.4191,Deny,19334.73,298205.54,0.6843,94209.09,0.1455,19,Platinum,None,Low
80,CUST-C0180,INST-015,Business Loan,0.7635,0.1507,Improving,7.2259,0.0189,11.9852,86.9126,52.4479,Approve,14752.63,301501.75,0.8112,3205029.75,-0.044,99,Bronze,Cross-sell,Low
81,CUST-C0068,INST-009,Personal Loan,0.142,0.1869,Improving,1.9713,0.0904,4.1372,67.6767,85.1751,Deny,14186.86,294848.49,0.6,839774.01,-0.0902,104,Platinum,Cross-sell,Low
82,CUST-C0229,INST-007,Business Loan,0.8294,0.0584,Worsening,-9.7864,0.0363,10.5356,72.6706,48.7444,Approve with Conditions,35039.9,371401.22,0.568,2291.64,0.1053,52,Platinum,Upsell,Medium
83,CUST-C0046,INST-006,Line of Credit,0.5394,0.2879,Worsening,4.4272,0.1227,5.7415,98.1622,85.1705,Approve,48206.75,374182.0,0.6881,113497.54,0.2695,40,Gold,Retention,Low
84,CUST-C0167,INST-015,Personal Loan,0.1627,0.1411,Worsening,-9.3378,0.1948,6.421,63.0363,73.8515,Deny,11241.86,380488.61,0.4854,3628.38,0.2054,121,Bronze,Retention,Low
85,CUST-C0127,INST-020,Business Loan,0.3426,0.1835,Improving,-3.6229,0.1642,5.6687,67.2565,82.1313,Approve with Conditions,30400.49,422626.71,0.3017,9286.61,0.1842,126,Gold,Cross-sell,Medium
86,CUST-C0002,INST-007,Personal Loan,0.542,0.0248,Improving,1.529,0.0295,3.5463,80.0052,97.2295,Approve with Conditions,14397.17,418908.38,0.841,880825.12,0.0751,36,Platinum,Cross-sell,Medium
87,CUST-C0241,INST-002,Personal Loan,0.0399,0.2743,Worsening,-5.5996,0.165,2.3771,89.9964,96.9748,Approve,48405.88,102439.26,0.5564,734122.52,0.179,145,Bronze,None,Medium
88,CUST-C0211,INST-002,Credit Card,0.0137,0.0996,Stable,2.2066,0.1537,1.8589,89.7972,41.3709,Approve with Conditions,25308.11,73966.21,0.8739,833668.8,0.1086,117,Silver,Cross-sell,High
89,CUST-C0108,INST-001,Credit Card,0.7997,0.0921,Improving,7.0133,0.1785,11.8139,91.7135,69.8915,Deny,41925.12,466573.51,0.1016,58942.05,0.0425,21,Gold,None,Low
90,CUST-C0228,INST-014,Credit Card,0.0175,0.1284,Improving,5.316,0.0754,1.4068,83.4648,97.1428,Approve,8159.67,52802.14,0.9482,3094342.35,0.113,56,Gold,Retention,High
91,CUST-C0005,INST-014,Personal Loan,0.0498,0.2239,Worsening,1.6852,0.1824,8.528,93.0762,74.9026,Deny,28307.1,77599.92,0.6207,329086.11,-0.0314,35,Platinum,Upsell,Low
92,CUST-C0073,INST-013,Mortgage,0.1291,0.0415,Worsening,-1.3131,0.176,7.5224,77.4336,50.4484,Approve with Conditions,40675.17,324485.46,0.0902,990475.97,0.2951,30,Silver,Cross-sell,Low
93,CUST-C0143,INST-003,Personal Loan,0.4774,0.1049,Worsening,3.2707,0.1054,1.293,85.343,69.3981,Deny,23123.53,76717.38,0.4866,328226.65,0.1655,132,Bronze,Cross-sell,Medium
94,CUST-C0008,INST-011,Business Loan,0.0554,0.0635,Stable,-7.4231,0.016,7.011,93.079,47.9292,Approve with Conditions,16874.69,38927.02,0.6939,863204.19,-0.0351,116,Gold,Cross-sell,Medium
95,CUST-C0010,INST-019,Credit Card,0.1778,0.1988,Improving,-8.5432,0.1213,3.1164,68.1699,69.2114,Approve with Conditions,33713.1,408005.37,0.2563,336177.98,0.1967,111,Platinum,Cross-sell,Medium
96,CUST-C0114,INST-001,Personal Loan,0.1847,0.1221,Improving,-4.9562,0.0372,12.9301,68.8953,85.0873,Approve,43535.35,357815.02,0.983,925463.47,0.1501,24,Silver,Upsell,Medium
97,CUST-C0068,INST-003,Business Loan,0.8437,0.1434,Stable,-5.3726,0.0802,7.7835,72.2003,66.6791,Approve with Conditions,18782.9,318847.15,0.2792,66948.28,0.1608,137,Gold,Cross-sell,High
98,CUST-C0084,INST-017,Credit Card,0.1532,0.1415,Stable,1.3796,0.0118,8.6322,83.8658,44.6766,Approve,7639.89,58403.19,0.9138,25589.66,0.0457,56,Bronze,Cross-sell,Medium
99,CUST-C0069,INST-008,Personal Loan,0.8749,0.0786,Worsening,-0.2681,0.1903,4.8903,83.495,73.2376,Approve with Conditions,28344.97,416178.63,0.9547,1630.56,0.0728,86,Gold,None,High
100,CUST-C0113,INST-019,Business Loan,0.2444,0.2443,Stable,8.717,0.0295,13.1342,84.9995,79.2644,Approve,38453.08,406499.13,0.0212,8379.65,-0.0698,46,Platinum,None,Low
101,CUST-C0125,INST-004,Credit Card,0.6929,0.037,Stable,3.4194,0.0863,8.2971,63.8612,64.0287,Deny,12630.18,290514.13,0.747,39159.08,0.2605,22,Platinum,Retention,Low
102,CUST-C0038,INST-008,Mortgage,0.7002,0.1044,Worsening,4.2165,0.1729,14.3899,61.2966,81.414,Deny,37640.17,333025.76,0.9965,49458.01,0.2952,21,Gold,Cross-sell,Low
103,CUST-C0031,INST-007,Mortgage,0.9661,0.2642,Stable,-8.3531,0.1834,9.4512,94.8891,78.0018,Deny,42358.31,33432.84,0.4986,19194.18,0.1892,23,Platinum,Cross-sell,Medium
104,CUST-C0214,INST-002,Credit Card,0.87,0.2449,Stable,-2.7747,0.0675,9.414,66.0345,47.1375,Approve with Conditions,44559.27,245235.2,0.6799,961281.1,0.2894,131,Gold,Cross-sell,High
105,CUST-C0055,INST-005,Personal Loan,0.5534,0.2526,Improving,5.5218,0.1588,8.2516,78.4965,55.5871,Deny,2508.23,218113.73,0.8082,1473754.55,0.1499,97,Silver,Cross-sell,Medium
106,CUST-C0007,INST-003,Business Loan,0.3879,0.1249,Improving,-0.7027,0.0124,6.9764,93.3997,60.9974,Approve,23164.47,414973.74,0.4847,79710.73,0.2523,85,Silver,Retention,Medium
107,CUST-C0241,INST-019,Business Loan,0.8395,0.0233,Improving,2.2508,0.0028,13.2819,75.6607,81.4208,Approve with Conditions,34827.66,138637.64,0.9875,138378.06,-0.0915,52,Platinum,Retention,High
108,CUST-C0040,INST-014,Credit Card,0.0875,0.2697,Improving,-1.3408,0.0416,3.2929,71.9617,46.2992,Approve with Conditions,5046.8,71895.23,0.9727,4003.74,0.0667,67,Platinum,None,Low
109,CUST-C0190,INST-012,Mortgage,0.1087,0.0097,Stable,0.1813,0.0254,12.3083,66.9018,46.4138,Approve with Conditions,45978.48,13384.68,0.2402,1911.65,-0.0663,116,Silver,None,High
110,CUST-C0203,INST-011,Credit Card,0.2584,0.2138,Worsening,-5.9318,0.0431,14.2193,84.7297,97.6198,Deny,4521.52,101747.47,0.2501,486262.88,0.1438,25,Platinum,Upsell,Medium
111,CUST-C0101,INST-012,Credit Card,0.6177,0.0325,Stable,4.3761,0.0466,3.0374,62.0824,43.8622,Deny,35363.19,143560.92,0.2653,474434.61,0.2529,90,Gold,Retention,High
112,CUST-C0106,INST-003,Business Loan,0.9809,0.1504,Worsening,-6.9697,0.148,10.019,81.3988,80.9405,Approve with Conditions,41584.6,229834.58,0.787,8695.98,0.2078,111,Platinum,Cross-sell,Low
113,CUST-C0017,INST-018,Mortgage,0.9939,0.033,Worsening,-1.8743,0.1465,5.0013,98.64,67.9737,Approve,23981.41,378401.94,0.4834,4950139.23,0.0143,49,Silver,Retention,Low
114,CUST-C0007,INST-007,Personal Loan,0.2481,0.0608,Improving,6.4877,0.1399,6.1863,92.1902,62.1265,Approve with Conditions,16703.88,209337.88,0.9518,1178966.87,-0.0042,144,Bronze,Cross-sell,Low
115,CUST-C0153,INST-008,Credit Card,0.7347,0.2157,Stable,7.3346,0.1679,13.6736,76.3732,69.1837,Deny,47327.68,360421.15,0.4311,6227.42,0.0129,21,Gold,Cross-sell,Low
116,CUST-C0187,INST-004,Business Loan,0.6844,0.2722,Improving,1.7532,0.166,5.9968,76.0567,63.8348,Approve,22751.68,207510.71,0.6909,1538.51,-0.0086,34,Platinum,None,Medium
117,CUST-C0036,INST-002,Credit Card,0.4004,0.2136,Improving,8.7169,0.1961,8.081,73.7163,97.1751,Approve with Conditions,49474.14,250859.47,0.909,89255.89,0.1445,139,Silver,Retention,High
118,CUST-C0201,INST-017,Line of Credit,0.6509,0.1653,Stable,7.3375,0.0527,4.7877,98.1124,80.7149,Deny,6044.68,91523.79,0.549,3448425.42,-0.0791,87,Bronze,None,Medium
119,CUST-C0039,INST-010,Line of Credit,0.2168,0.0003,Stable,6.6188,0.0931,2.214,90.7225,88.366,Approve,8482.34,224302.91,0.6262,1766901.03,0.184,29,Silver,Cross-sell,High
120,CUST-C0224,INST-006,Mortgage,0.8223,0.0952,Stable,-5.7024,0.1794,13.7948,69.8652,49.7183,Approve,25583.11,275745.72,0.5863,92954.92,-0.0403,78,Silver,Cross-sell,High
121,CUST-C0098,INST-012,Credit Card,0.1642,0.2479,Stable,8.3586,0.0738,7.1179,94.4843,93.4189,Approve with Conditions,6860.11,92330.49,0.5548,53831.33,0.1841,77,Platinum,Cross-sell,Low
122,CUST-C0017,INST-001,Business Loan,0.6891,0.1321,Improving,-3.5576,0.1388,9.3997,82.9018,71.2503,Approve with Conditions,47207.55,408641.66,0.2264,4420766.59,0.2556,132,Bronze,Cross-sell,Low
123,CUST-C0045,INST-004,Personal Loan,0.7747,0.1065,Worsening,-7.3147,0.1061,5.4307,94.8621,80.2235,Deny,27909.4,16802.58,0.1997,1217.72,-0.059,118,Silver,Retention,Low
124,CUST-C0201,INST-011,Personal Loan,0.9371,0.1416,Improving,-3.9514,0.0367,5.2011,60.8618,68.6213,Approve,7335.65,463175.41,0.546,98709.84,0.1613,131,Silver,Retention,Medium
125,CUST-C0243,INST-017,Business Loan,0.7413,0.0187,Stable,0.2116,0.1591,12.5023,87.3885,42.5561,Approve with Conditions,44867.16,318037.39,0.2078,4562308.14,0.0796,150,Gold,None,Low
126,CUST-C0232,INST-020,Business Loan,0.7876,0.1503,Stable,1.7638,0.1898,14.3624,88.4248,88.1765,Deny,13426.59,279972.71,0.4456,867128.85,-0.0234,105,Bronze,Upsell,Low
127,CUST-C0088,INST-016,Mortgage,0.2223,0.1233,Stable,-5.828,0.1132,4.4588,89.9753,95.0591,Approve with Conditions,48962.28,458064.11,0.9569,964537.34,0.2022,98,Bronze,Cross-sell,High
128,CUST-C0004,INST-018,Business Loan,0.5921,0.1916,Stable,-7.2423,0.1914,10.6327,94.5019,41.4068,Deny,9946.69,359233.68,0.2589,8958.94,0.191,18,Silver,Cross-sell,High
